case_id,model_finding_id,initial_adjudicator_type,initial_codeql_relation,initial_matched_reference_ids,initial_relation_confidence,initial_relation_rationale,final_codeql_relation,final_matched_reference_ids,human_review_status,final_decision_source,reviewer_role,source_row_sha256
case-22b5befc227597e10e1c,mf-3c151d43a6f06111cede,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,13c7ea4c5571d25efe6f81f14dc8e9e3016a1d8782d7995ce5ff2d94b8c61c24
case-22b5befc227597e10e1c,mf-7129e16ce9786ad7ca8f,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,ace7caa3bb912a5e030afc0a1c991487033aed5409f0debb0fd3403938f7fe1e
case-22b5befc227597e10e1c,mf-5e3c7221156f54a2b44e,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,f79b7baca29f47c0a28d3d7f2365b7753725ffd7e2b20d2f81b5685602b58f3c
case-22b5befc227597e10e1c,mf-50cf57f4fd4f7d9fbb04,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,952e7bf1bd8a6bb136912405cdb6f3e25ac15c526c8668ef08dce12ebff3098d
case-2a05c6f1f5871c732fc9,mf-1d853c4a8a5e49c3895e,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,ec22eff1f69fdd82b41d9d4a39e1d6cd70c5a848e5ff48be43b476d49dbe90ca
case-2a05c6f1f5871c732fc9,mf-d1e89d01a8fab57897be,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,3de6828aaeab4de8b6b6e243337279c98833fad3952d665c9f84daf4ac035ff0
case-2a05c6f1f5871c732fc9,mf-548197042f1d7c4448cb,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,9a76afe5cde5596512c82c01ab06390e7f12fe58551a82ac6b354b478d9b8f03
case-2ae54e3d2402891653c9,mf-5dd36c15fb01f0a88cf4,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,887b70ea7e26fc7c69ce574d1cc01850e08fdfc3593ab0afb5086bbcd8cda0dd
case-2ae54e3d2402891653c9,mf-1bc78d1f9da105634f70,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,b0a820be699287d0b6d65cd084df394612e2719f2631bb26d7928b93de00cf23
case-2ae54e3d2402891653c9,mf-ff53c84e0079e4c0e2af,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,6b324d11d049b5d8053c649f12b5facf2ea2762931650927e405466cfd223414
case-337b59edf712fccfe514,mf-619a5f9794a756618cc5,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,e0b95253efeec462da89ac9c528a16dafd6185bdecb2c4a28a513d5435419a1f
case-337b59edf712fccfe514,mf-acfc5a04c490cbfa2f02,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,2d7e2feed8b25dc351c47f89ac0c193a200db1b9e8074de1362e752d8c11452f
case-337b59edf712fccfe514,mf-2a781417389326b186aa,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,a5d1683a455844943cb012c96a3facffd3c58b196761a78262f1389645e492d3
case-337b59edf712fccfe514,mf-e9637b78a3d68abe2207,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,631a1cefa345aa7fbcac09d7d2ee2b132107e5fc12d9028e5c562340bb924dc6
case-3579bc98fa0e953b64f7,mf-30f32a0977aea9d3d747,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,49198a83cf3b25338e9b7b88faea282d7e058b3f00cc2218dd97d4c247417b39
case-3579bc98fa0e953b64f7,mf-4fc648e96741f6fcc33a,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,0eedd568acfcaa541bac2bb2eee58195abb955ad8f93b9a859f4df7f60703d6f
case-3579bc98fa0e953b64f7,mf-304226469be09976571c,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,7356b2052f4892fa6c5702a20f4f1270efc667d6ed68b972cf41e7c7ab9126e8
case-4bdf822f70334d0f1dc2,mf-dc7c937399e82231dd08,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,4f53623710735feab9506265828462219a7f5d9cf8b78d253c1cdf50441256a9
case-4bdf822f70334d0f1dc2,mf-ec6c7546059e682c960b,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,b1561934f80aefd7c59ba797a0c72ec5885e27e0c4af4aa823bfae8be21e63c9
case-525cca57fa45a53cdf40,mf-85547bb09960bb772937,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,853ce7a9668e181dc26ee8154a5566f9f8374869d95fba49bbdc8e0f70cca4f4
case-554adcd81abcd45211d3,mf-2f57e692c564d02712c5,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,59152eabfeface5abd60453f83641f01dcd857694b1a6a7bd85918259bf77f22
case-554adcd81abcd45211d3,mf-6a6d572f62b3b2b1e88c,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,cc3bb4bafc5c8fc72482cb30aa49a65eca4cd9a7c8bdec6dbc6ec06d60087287
case-656157e34a42feec3ad8,mf-45dde033b9599c33a3b2,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,25f37deb0ecb08e21fe7e0e28e807ee0bfb88dc0fc79d4252d68892be9e7b9ab
case-656157e34a42feec3ad8,mf-3dbf6370d448e5fe088a,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,a1cf8ed3f02f3728085eb9c2fb1532def2a4258316157e7868c2947984dd0365
case-656157e34a42feec3ad8,mf-1870ab7f8c113eb4b3fe,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,5eaa1b34d17bee9c57a8b04d023b1d5c2d466791f7dc8876d0c09b3e4be0ba76
case-656157e34a42feec3ad8,mf-850c1724e31d0f691a89,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,9d1a61827fe3a1fd4021dc346945d2f1b160062b1abb9bc9f98813edcea2cb9e
case-656157e34a42feec3ad8,mf-eb8a055e89c3a242863b,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,b75a35b516fcaa2737f8b0823bef220ac40a0f34cd6873c2d1fccd04f71d0572
case-656157e34a42feec3ad8,mf-15a66c1edbf2d781b2aa,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,50feae40d0bef7e308ac3fa4e0f32b3ffd777fb8846a95fc8ecaf366c2f2cdd1
case-656157e34a42feec3ad8,mf-63d6cd044015bc793ff6,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,b35b001ae295c5ddbbb276479f4d9c1d840628b05b8d310f2ed7ec1d567324e2
case-656157e34a42feec3ad8,mf-b4e7a2d6f9109b8d5047,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,533115805755891ac7b41bf8ed6ccab8e521aff0f1fcabeb63e02be03e7f4b83
case-7769db528e070342d826,mf-7b13d633a68230180fe4,LLM_assistant,no_match,,high,The inconsistent result-count units are unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,b6dba1a7587d30907d6979913e9bdd7034c6c1cd89210bcb3025d20243af211c
case-7769db528e070342d826,mf-5f591305b752997b2784,LLM_assistant,no_match,,high,The denominator omits error tests and is unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,d447dd64717d783392b87654dd77d171bf8d27fc1c5fd99a504760472e6c0951
case-7769db528e070342d826,mf-e46d3cd4669b40cf3dca,LLM_assistant,no_match,,high,The negative empty-result page index is unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,41a74955e42b3eb684f3b8cd85685dc90658936b1ae2ea8404ff2818ffe3d3f6
case-7769db528e070342d826,mf-3a42851508ebcf6e4e43,LLM_assistant,no_match,,high,The partially updated eval selection state is unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,8ee6467b99027b90b8e4a91a6966da945b477b811a7bea562a32ceda866c9dc5
case-7769db528e070342d826,mf-1fdcb096be9a926af5b9,LLM_assistant,no_match,,high,The incorrect metadata index expression is unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,6df218e98308439b5c806e23cb1fb930a3b616f32e48bb0c276c034b1bf7b052
case-7769db528e070342d826,mf-4a64a88a3fb3c1611239,LLM_assistant,no_match,,high,Missing metrics for legacy evals are unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,1c1742408a4d4aafb2f30bc3ae055a51e43e0f3f17640db61ad4e62bdb84b6c8
case-7769db528e070342d826,mf-b77a250627043adcb48c,LLM_assistant,no_match,,high,The breaking moderation configuration shape is unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,bdbe3fa8403d4fc1902da695b80e7ef64ff1238fdd1e66b911e8098c4d8d6869
case-7769db528e070342d826,mf-e74e30addb9f4dfcd1d9,LLM_assistant,no_match,,high,Persisting stale comparison IDs is unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,44ef59d8f64d3b0c9536f35b1a7ad5bc61301c9ce339d8ceab750019a8a927c7
case-7769db528e070342d826,mf-01a355e579cd8bfe5fdb,LLM_assistant,no_match,,high,The increased UI debounce is unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,87e937de8535770d26c5006a323ba47a76df186e75970ac8c01361879d83dd42
case-7769db528e070342d826,mf-de5ac4e12266821e0fde,LLM_assistant,no_match,,high,The changed intent-grader input is unrelated to CodeQL's log-injection alerts.,no_match,,author_confirmed,author_manual_review,author,f511f63c0fab6de22a85372f1ab3dff0eaa187bcd3f731238396dc2cd471ecb0
case-7c75f021c35395eadfeb,mf-8834ee74b07773fb6d6c,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,85dbe630c76b2a002fe21f63b4ffaddb6f8651ddcdf17872413805bd1f75b9af
case-7c75f021c35395eadfeb,mf-17ce49705ee5d32e8b59,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,f4dd4080abcbcfd4cf1e8c4bf98605fdba765c8b27b8380e2e6b76909066975e
case-7c75f021c35395eadfeb,mf-95fbc4ad5338f9588f62,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,2b367362dbb202e56531ceefb5a9be751ec215b6699612f07dfb0115f6139429
case-7c75f021c35395eadfeb,mf-868d9c1b7c5e2dabe8f7,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,2637eec625b39df5bb5479427b9c25e10a5f53229652482e28bcd308ec45d1af
case-876b04abf7d9fca64331,mf-ad60503aa74ae62ecd65,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,066f3a37fe6600573aa7c5229d806f9fdb45e1d9b91790ac89d858ed104e3392
case-876b04abf7d9fca64331,mf-9b97c39c375cc9549d2f,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,e092b3bddeef9ff9a2324594d549bcd93b83e1374ae5aa3d65e061c12f51d49f
case-876b04abf7d9fca64331,mf-ce4af98e1019d0cc1ca3,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,c3cae0475b6ad30317a6d428afd80d4837dbb2254fe9f70fe6e9c9ce2569664f
case-876b04abf7d9fca64331,mf-b2836533cb96aed384f3,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,6858d1112638139be5e96eb686ade5c2ccd3babe1b88452a59253ec214e29176
case-876b04abf7d9fca64331,mf-73b1d3844fae37d1e8b6,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,920867168a4c0ac27e0f23f68fb5c6d37f59b736db5825e75439364e741733ca
case-890543742b2667251625,mf-806043ae73fe69b3c4dd,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,58e386e446104c5d002e8900b9bdb755e753be662b401ae839d1bb14cc19e803
case-890543742b2667251625,mf-7ef873c9c5b5d07ffcbb,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,a307e9e45e0c7eadee2cd65825edb36d04f38334f46e753e4f3d408682a8a507
case-890543742b2667251625,mf-c3ed11ffbdc64c08bb75,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,b25e489691637f790c20dc4a5cbcb2e32fd214dfbf329acf28c32e5b2b83e8ba
case-890543742b2667251625,mf-d6828dd31a57367b768b,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,d9f620c025dd4080764610ebc5505d46f8d53e41bd6a28e8932af1905f25cbf1
case-890543742b2667251625,mf-c9b0ef5723a8bc9faf9f,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,67ee9c8b3227998ad1362aa9591a3a3996cecf9c75d528e6a6a706807b44ee74
case-8e3569ec12253aacd7c7,mf-9ddb3fa49e20f9767fc3,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,5d08967a6668972642d1ee91a22de0fa9c9de03bde0797c97526783a4fdd8feb
case-8e3569ec12253aacd7c7,mf-2ab69a24921bd576a388,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,c27ab6272c673db22b05b33fbb122b54e3078fb2536050d3ade49ccf6e136c3f
case-8e3569ec12253aacd7c7,mf-e8fe413e5d4fa61827d7,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,e2ff4c3ef38014465b872372fde1a7bce91ac47803f96bb6a3310eca9a679f9c
case-8e3569ec12253aacd7c7,mf-424e9c1559a64bbee3b5,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,146d5f96dbc5eb6cfdaffd7dbecb1c83bed1f54b4ce406c1cc243199d8bd17ba
case-8e3569ec12253aacd7c7,mf-818a05abbb98ba139ae2,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,208f650d6fdce7ddeda7674d27fa2f69b254eeaab75b80e2d139cccf9a2d398e
case-8e3569ec12253aacd7c7,mf-0a983e3ac7205a902bda,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,86f0908487c0514693a0a06e67c31cd1975186303c8b84ca1b21f4c27d760e65
case-8e3569ec12253aacd7c7,mf-c4c57c7d25d84a4ae814,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,4b73027e7b2a685cd060e6953380d3189fcd7c432a72b62f0aaff831d7a3180c
case-906c229655ff5b2d845d,mf-0e43fdd27856994e5e10,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,65dced0c358f17fe45706f87baf849c77829c34127952e99c7e1c58ada4c72d4
case-906c229655ff5b2d845d,mf-22ad0db4dcc41575c508,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,f64ed76513e31532584b1c1158ae2d1c049e502604cd33de7e5ad0129003456e
case-906c229655ff5b2d845d,mf-6b3f2598548ecc49e7e7,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,4c2a9324d02b8b4c1230651a15bd87a9ec6a94c2fc12bdd4fb6f2e9a5bc44b23
case-942f9d868ba8d76f17e5,mf-8f965c08be3fa9bded51,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,57662c1528665e8e530bb834aaef86f680dfa5d4ab9462e85f736f430c535a63
case-942f9d868ba8d76f17e5,mf-d379db7ed361eb301fb5,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,64ee295bcdece36ddaf57c16c454a45981eed8e0f87ba5ff2edbeb58d83b57a6
case-942f9d868ba8d76f17e5,mf-e37e775b510eaa40e7b4,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,7a09b8b3f5b9edbc9aa8962b6fcc372d936d2334f271130c5830ef292c923ae6
case-942f9d868ba8d76f17e5,mf-4d4a7f444e509c5baffa,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,62cd7035d72dc8eaf238ce74af0233e5b2741d01b08075eecd5768e2ab148b8a
case-942f9d868ba8d76f17e5,mf-16e4a09c6e5ce1dae353,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,910ff492cf497a94d45fb6cc6d2342aa2439a5647f531a3cbba7ade88554a2ec
case-a907ff7b7b82863f67ef,mf-51ea10c351a6026f14b9,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,2fe36e5315baa88cfac80e44ba8ebca8b3b06749cc5a5e937ea1d6808c6f4c9b
case-a907ff7b7b82863f67ef,mf-80b4497578e61e2d55d0,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,ef1540bb295a495e97d56ebaa6721963c112df455f828d8f724c127e40a38d50
case-a907ff7b7b82863f67ef,mf-65496d34471f52134e3e,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,9717a08d651db2019e5c62981b3c4ec3fea109a1eb66d09e34952835086f8127
case-a907ff7b7b82863f67ef,mf-47cfc238b19d63249108,deterministic_rule,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,no_reference,,author_confirmed,author_manual_review,author,85791aa957d86fd86bbf3ebfe987da4ae566a00ee6739a34bf0a54ef08ddc05d
