case_id,group,repo_name,pr_number,language,task_type,reference_id,alert_id,rule_id,rule_name,quality_category,semantic_recovered,analysis_tier,rq1_mechanism_category,rq1_mechanism_label,mechanism_subcategory,root_cause_cluster_id,mapping_source,mapping_status,mapping_confidence,mapping_rationale
case-1aaea7ba84a2f17638de,ai,ibelick/zola,185,TypeScript,feat,sf-c324591f264f7ae7bf0e,qalert-056729b3c8de9c8da1964f1e,js/trivial-conditional,Useless conditional,correctness_reliability,0,strict_primary_114,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-045ddb18207b0726c420,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The chat route combines isAuthenticated with a userId check even though userId is a guaranteed string at that point, making the second operand invariably true."
case-232a78570fb9941423b0,ai,ruvnet/claude-flow,519,TypeScript,fix,sf-4a907d0f322c6840a609,qalert-01c0a021d1ebe44502a51d5e,js/unused-local-variable,"Unused variable, import, function or class",maintainability,0,extended_additional_73,interface_or_contract_mismatch,Interface or contract mismatch,api_lifecycle_or_declaration_mismatch,rccluster-4b224d821017ce974aa9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The dynamic-schema change imports two utilities from agent-types, calls getAvailableAgentTypes even though its resolved export is non-callable, and leaves the alternative getAgentTypeSchema binding unused."
case-232a78570fb9941423b0,ai,ruvnet/claude-flow,519,TypeScript,fix,sf-99d33280d90d77022b8f,qalert-3494ef21d27a56d94435ecce,js/call-to-non-callable,Invocation of non-function,correctness_reliability,1,strict_primary_114,interface_or_contract_mismatch,Interface or contract mismatch,api_lifecycle_or_declaration_mismatch,rccluster-4b224d821017ce974aa9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The dynamic-schema change imports two utilities from agent-types, calls getAvailableAgentTypes even though its resolved export is non-callable, and leaves the alternative getAgentTypeSchema binding unused."
case-232a78570fb9941423b0,ai,ruvnet/claude-flow,519,TypeScript,fix,sf-defa6c08655cef5dee2e,qalert-22e76769022bbee5196e3a47,js/unused-local-variable,"Unused variable, import, function or class",maintainability,0,extended_additional_73,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,duplicate_or_redundant_operation,rccluster-db09b0d21ddcc80632e4,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new GitHub helper assigns execSync's return to result even though stdio is inherited and the function never reads the returned value.
case-251cb80f6be4da1148b5,ai,prebid/Prebid.js,13160,JavaScript,fix,sf-11536c648b436064cbcb,qalert-fbc611bef0ac07bbdb11056d,js/trivial-conditional,Useless conditional,correctness_reliability,0,strict_primary_114,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-00b864e2449f3549de5e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The RTD provider changes add array fallbacks inside paths already guarded by truthy providers or nonempty slots, making the fallback operands unreachable in all three expressions."
case-251cb80f6be4da1148b5,ai,prebid/Prebid.js,13160,JavaScript,fix,sf-4f45698b78c934b6fe0d,qalert-bb0b9fe4908c5748c8977422,js/trivial-conditional,Useless conditional,correctness_reliability,0,strict_primary_114,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-00b864e2449f3549de5e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The RTD provider changes add array fallbacks inside paths already guarded by truthy providers or nonempty slots, making the fallback operands unreachable in all three expressions."
case-251cb80f6be4da1148b5,ai,prebid/Prebid.js,13160,JavaScript,fix,sf-93557704dfd4af4f33d5,qalert-2316ba89e5fe88046c4b67e5,js/trivial-conditional,Useless conditional,correctness_reliability,0,strict_primary_114,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-00b864e2449f3549de5e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The RTD provider changes add array fallbacks inside paths already guarded by truthy providers or nonempty slots, making the fallback operands unreachable in all three expressions."
case-297b8514fd048d20c40e,ai,antiwork/gumroad,615,Ruby,feat,sf-d1115807d6e72d59553a,qalert-285ca85bf4bea0db4c674930,rb/uninitialized-local-variable,Potentially uninitialized local variable,correctness_reliability,1,strict_primary_114,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",state_initialization_or_liveness_gap,rccluster-7d54ea3b2b76810e349c,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new report job initializes temp_file inside the begin block but closes it unconditionally in ensure, so an exception during Tempfile construction reaches a read before assignment."
case-2d93edefa9bf78e1efb4,ai,SimonHalvdansson/Harmonic-HN,216,Java,feat,sf-2415746867738a4452bb,qalert-a73358c299e1f4dfa5a53438,java/dereferenced-value-may-be-null,Dereferenced variable may be null,correctness_reliability,0,strict_primary_114,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_expression_or_value_composition,rccluster-5b994b7d5981e6103253,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new updateUserTags method dereferences adapter on the story-author path before applying the adapter null guard used for comment-author updates later in the same method.
case-2f0bf603687d1eee9d5c,ai,3rdIteration/btcrecover,611,Python,feat,sf-08b4712433e2852ae390,qalert-370fee4c7cd93017752955f1,py/unused-import,Unused import,maintainability,0,extended_additional_73,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,duplicate_or_redundant_operation,rccluster-c94fc7a6f91664f23686,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The seed module added a shamir_mnemonic module import even though its direct from-import already performed the availability check and supplied the used names.
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-27da057359b03c8f1cc9,qalert-fd580e2c1660ed9412c7f65b,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-2a026153bb37163cb108,qalert-14c8c2a34b8d89081c1627f2,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-557d77ffdfcd54db74e6,qalert-67eb5d393a7d0ab9387867a0,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-670658b6035afcb2b7f1,qalert-bcd90854e42b43b559db20b7,py/unused-import,Unused import,maintainability,1,extended_additional_73,incomplete_change_coordination,Incomplete change coordination,unintegrated_element_in_new_code,rccluster-278ba241b2072515cf81,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The memory-helper expansion added os, List, and Tuple to its imports without implementing consumers for those bindings."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-6bc931a713e606ee59a5,qalert-63d3083a0d85e83a5b4c8c01,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-7222b359df14c48a6019,qalert-77bed0ba35d9553a6b8c84e4,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-7d836c22dbb5f775cca9,qalert-55305bdd3d98bdbd41037c3e,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-a944c7fc8b5442100ebb,qalert-726d25584b173e71f9c3017a,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-b322c91b6da3ceb0e320,qalert-c79c9a4468fbbf77b9cc5fce,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-e50df9ca75ba1dee3845,qalert-d9af097e140258f7257eaace,py/unused-import,Unused import,maintainability,0,extended_additional_73,incomplete_change_coordination,Incomplete change coordination,unintegrated_element_in_new_code,rccluster-278ba241b2072515cf81,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The memory-helper expansion added os, List, and Tuple to its imports without implementing consumers for those bindings."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-f10c6c35948b7520a413,qalert-dd245629f81fd58bc299d2f3,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-fb0479503d4b4c76a059,qalert-ce49ea43531000406adee3bb,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-37aad921cd746c69ff61,ai,Kiln-AI/Kiln,358,Python,fix,sf-c18afdfd527487d6fa82,qalert-0c0554b24a064417ae1f0674,py/unused-import,Unused import,maintainability,0,extended_additional_73,incomplete_change_coordination,Incomplete change coordination,unintegrated_element_in_new_code,rccluster-8218a1c5325a158adf64,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new chat formatter imported Enum but implemented strategy handling through ChatStrategy without using the base enum type.
case-4305c02b5fa838228719,ai,AgentOps-AI/agentops,729,Python,fix,sf-db0ad4255383099c1685,qalert-2d305da99041dfa5cef31891,py/undefined-export,Explicit export is not defined,correctness_reliability,1,strict_primary_114,incomplete_change_coordination,Incomplete change coordination,incomplete_cleanup_after_modification,rccluster-6b2884568fcb892ef9f6,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The session package removed the current function but retained current in __all__, leaving the public export list pointed at a deleted definition."
case-4305c02b5fa838228719,ai,AgentOps-AI/agentops,729,Python,fix,sf-f8233e6508e59ad656b7,qalert-5c8ebca25c2c97aaacd86cf6,py/unused-import,Unused import,maintainability,1,extended_additional_73,incomplete_change_coordination,Incomplete change coordination,incomplete_cleanup_after_modification,rccluster-63b15743299bdeea4ba8,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"SessionState members were changed from auto() values to explicit strings, but auto remained in the enum import after its uses disappeared."
case-4a764f3847aeba71b091,ai,Skyvern-AI/skyvern,2435,Python,feat,sf-70297f53645d61943159,qalert-1d51bf2b3c2112f4406afd06,py/cyclic-import,Cyclic import,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",dependency_cycle_or_duplicate_path,rccluster-9bf17e0c7a128d837a26,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The task-v2 response change adds a module-level dependency from task_v2_service to workflow_service, closing an existing path through workflow service, executor factory, and async executor back to task_v2_service and exposing three executor definitions before initialization."
case-58d2a55832abcd11e69d,ai,airbytehq/airbyte,52663,Python,feat,sf-baf43c533bc7dca99a82,qalert-9ecb4b4956dbf6eebe6cfd1a,py/file-not-closed,File is not always closed,performance_efficiency,1,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",incomplete_resource_lifecycle,rccluster-d436c7eb52128a026a20,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The base-image command passes a newly opened dagger.log stream as log_output without a context manager or explicit close.
case-5bc4ea80f1c42b093e67,ai,willccbb/verifiers,161,Python,feat,sf-604eb391bf6dcbca5586,qalert-4bf44f2f9f1faee8de7f163e,py/empty-except,Empty except,correctness_reliability,1,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-dd496ef0d1e7fac95de8,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new toxicity explanation environment used a bare empty handler for score parsing, simultaneously suppressing ordinary parse failures and BaseException subclasses."
case-5bc4ea80f1c42b093e67,ai,willccbb/verifiers,161,Python,feat,sf-cb35e23bf36e4b979a2e,qalert-9979c09fd05b732bfa9533cf,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,1,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-dd496ef0d1e7fac95de8,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new toxicity explanation environment used a bare empty handler for score parsing, simultaneously suppressing ordinary parse failures and BaseException subclasses."
case-74c18a92c1535b657998,ai,crewAIInc/crewAI,2994,Python,fix,sf-b4c52e22aba3d2848941,qalert-dffede82416cf26671dfe899,py/unsafe-cyclic-import,Module-level cyclic import,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",dependency_cycle_or_duplicate_path,rccluster-0b624cbc7b276742f642,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The mixin added a module-level import of event_listener, while event_listener imports that mixin before defining its singleton, creating an initialization-order cycle."
case-7c3045f6e85b3f5f1b49,ai,mendableai/firecrawl,1557,TypeScript,fix,sf-0ab9105539eb8a738033,qalert-42df6b0300fcd1e0796ff458,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,strict_primary_114,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-bd787723ca271c6358de,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The LLM-text generator added a statement without an explicit semicolon in a function where surrounding statements consistently used terminators.
case-7c3045f6e85b3f5f1b49,ai,mendableai/firecrawl,1557,TypeScript,fix,sf-90bfb3eacb71ecf24609,qalert-3cd5a6a3b9a534f4129ea45e,js/unused-local-variable,"Unused variable, import, function or class",maintainability,1,extended_additional_73,incomplete_change_coordination,Incomplete change coordination,unintegrated_element_in_new_code,rccluster-5b2b2c997b9322f20ac8,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The generator added normalizeUrl to its imports while continuing to construct cache keys exclusively with normalizeUrlOnlyHostname.
case-83f2a806231ce243a56f,ai,Shelf-nu/shelf.nu,1905,TypeScript,feat,sf-eac83d18e32b3ac8533b,qalert-c588f2e2c63c1ed081e02a5c,js/trivial-conditional,Useless conditional,correctness_reliability,0,strict_primary_114,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-a963c1059230d4786e41,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The added duplicate-check branch tested item after the immediately preceding guard had already returned for every falsy item, making that part of the condition invariantly true."
case-88ffb0e14443460c1357,ai,langbot-app/LangBot,1418,Python,feat,sf-b4b82a67272a43bc9eb0,qalert-7f267b813c8c2d9ed8969510,py/commented-out-code,Commented-out code,maintainability,0,strict_primary_114,incomplete_change_coordination,Incomplete change coordination,incomplete_cleanup_after_modification,rccluster-6d6cce2ed0015233ddca,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new Gemini requester leaves an entire image_url content branch as commented executable code instead of integrating or removing it.
case-8f13a23ad6dd97124ee6,ai,reflex-dev/reflex,5555,Python,refactor,sf-da658500fb1fd64f6580,qalert-c283aabc0db4fe8f82b6dac4,py/empty-except,Empty except,correctness_reliability,0,strict_primary_114,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-58d79fda769fc9c49d38,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The test harness added an empty handler that silently absorbs ProcessLookupError together with broad OSError during server termination, without preserving, narrowing, or explaining the failure path."
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-6a641e07e974627c9b1b,qalert-b2970b5247eba4a8a86baeda,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,strict_primary_114,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-21fb698b8728966835e9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,Four statements added to crawl-status omit explicit semicolons despite the enclosing functions' 94-96% explicit-semicolon convention.
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-81104ab36b7d321a64b4,qalert-5a67fef6365dd5f4fff9a971,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,strict_primary_114,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-21fb698b8728966835e9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,Four statements added to crawl-status omit explicit semicolons despite the enclosing functions' 94-96% explicit-semicolon convention.
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-a1c539505d552c3b68ae,qalert-0058da3aa8961648627d7636,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,strict_primary_114,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-21fb698b8728966835e9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,Four statements added to crawl-status omit explicit semicolons despite the enclosing functions' 94-96% explicit-semicolon convention.
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-a9308194c85cfa9a1b46,qalert-c5b049571af0e4e5f8c36c6d,js/useless-assignment-to-local,Useless assignment to local variable,maintainability,0,extended_additional_73,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",state_initialization_or_liveness_gap,rccluster-b2f7e6911188fc456ff4,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The batch-scrape controller initializes unnormalizedURLs from the request body, but the ignore-invalid branch overwrites it before use and the other branch never reads it."
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-bf7e7cf2d1e168f6bcb9,qalert-6bf66278b048719800bc265e,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,strict_primary_114,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-21fb698b8728966835e9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,Four statements added to crawl-status omit explicit semicolons despite the enclosing functions' 94-96% explicit-semicolon convention.
case-945185d91e4e23d356a8,ai,jina-ai/node-DeepResearch,2,TypeScript,refactor,sf-5a4bf499643a8f6f894e,qalert-57c0eabe51f2c90f454d1c43,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,strict_primary_114,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-5cdcd2d18989e1172b27,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The modified query rewriter added a statement without an explicit terminator in a function where surrounding statements consistently used semicolons.
