case_id,model_finding_id,file,line,summary,failure_scenario,match_status,candidate_reference_n,silver_finding_id,matched_reference_family,matched_rule_id
case-554adcd81abcd45211d3,mf-6a6d572f62b3b2b1e88c,alchemy/src/stripe/price.ts,351,"Validation gap: `props.unitAmount || props.unitAmountDecimal` uses truthiness check, bypassing the 'cannot set both tiers and unitAmount' validation when `unitAmount` is `0`","User specifies `tiers: [{ upTo: 100, unitAmount: 500 }]` and also `unitAmount: 0`. The validation on line 351 evaluates `0 || undefined` (falsy), so no error is thrown. The code proceeds to send both `tiers` and `unit_amount: 0` to Stripe (line 391: `if (props.unitAmount !== undefined)` sets `unit_amount: 0`). Stripe rejects the request with a cryptic API error like 'You cannot set both unit_amount and tiers' instead of the helpful `Cannot set both tiers and unitAmount/unitAmountDecimal` message the validation was intended to provide.",unmatched_to_codeql,0,,,
case-656157e34a42feec3ad8,mf-45dde033b9599c33a3b2,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/DoubleFieldInfo.java,48,Compilation error: parameter renamed from 'object' to 'target' but body still references undeclared 'object' in UnsafeMemory.unsafeGetDouble() call,"`javac` rejects the file -- method signature says `getDouble(Object target)` but line 48 uses `UnsafeMemory.unsafeGetDouble(object, getOffset())` where `object` is no longer declared. Compilation fails.",unmatched_to_codeql,0,,,
case-656157e34a42feec3ad8,mf-3dbf6370d448e5fe088a,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/IntFieldInfo.java,48,Compilation error: parameter renamed from 'object' to 'target' but body still references undeclared 'object' in UnsafeMemory.unsafeGetInt() call,"Same pattern as DoubleFieldInfo -- `javac` rejects the file. `getInt(Object target)` tries to use `UnsafeMemory.unsafeGetInt(object, ...)` with an undeclared symbol.",unmatched_to_codeql,0,,,
case-656157e34a42feec3ad8,mf-1870ab7f8c113eb4b3fe,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/LongFieldInfo.java,48,Compilation error: parameter renamed from 'object' to 'target' but body still references undeclared 'object' in UnsafeMemory.unsafeGetLong() call,"Same pattern -- `javac` rejects the file. `getLong(Object target)` tries to use `UnsafeMemory.unsafeGetLong(object, ...)` with an undeclared symbol.",unmatched_to_codeql,0,,,
case-656157e34a42feec3ad8,mf-850c1724e31d0f691a89,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/CharFieldInfo.java,49,Compilation error: parameter renamed from 'object' to 'target' but body still references undeclared 'object' in UnsafeMemory.unsafeGetChar() call,"Same pattern -- `javac` rejects the file. `getChar(Object target)` tries to use `UnsafeMemory.unsafeGetChar(object, ...)` with an undeclared symbol.",unmatched_to_codeql,0,,,
case-656157e34a42feec3ad8,mf-eb8a055e89c3a242863b,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/ObjectFieldInfo.java,51,Compilation error: parameter renamed from 'object' to 'target' but body still references undeclared 'object' in UnsafeMemory.unsafeGetObject() call,"Same pattern -- `javac` rejects the file. `get(Object target)` tries to use `UnsafeMemory.unsafeGetObject(object, ...)` with an undeclared symbol.",unmatched_to_codeql,0,,,
case-656157e34a42feec3ad8,mf-15a66c1edbf2d781b2aa,src/main/java/net/openhft/chronicle/wire/Wires.java,1982,"TupleFieldInfo.set() primitive overloads (char/int/long/double) call set(name, ...) instead of set(target, ...), dropping the target object and using the String field name as the target -- causes Proxy.getInvocationHandler() to throw on every primitive set","Calling `TupleFieldInfo.set(someProxy, 42)` on an int field enters `set(Object target, int value)` which calls `set(name, (Object) value)`. The inherited `set(Object, Object)` then calls `getMap(name)` which invokes `Proxy.getInvocationHandler(""someFieldName"")` on a plain String -- throws `IllegalArgumentException` because String is not a proxy. All primitive set operations on TupleFieldInfo crash at runtime. (This is a pre-existing bug that the diff touches but does not fix.)",unmatched_to_codeql,0,,,
case-656157e34a42feec3ad8,mf-63d6cd044015bc793ff6,src/main/java/net/openhft/chronicle/wire/FieldInfo.java,35,Javadoc corruption from over-aggressive search-and-replace: 'write field newValues' should be 'write field values'; 'FieldInfo targets/FieldInfo target' should be 'FieldInfo objects/FieldInfo object'; 'Returns the newValue of the field' should be 'Returns the value of the field'; 'source target to the destination target' should be 'source object to the destination object',"Javadoc generation produces nonsensical documentation (e.g., 'and write field newValues' at line 35, 'FieldInfo targets' at line 71, 'Returns the newValue of the field' at line 137, 'source target to the destination target... targets will be copied' at lines 237-238, 'in two targets' at line 283). Readers are confused by documentation that reads like a failed find-and-replace.",unmatched_to_codeql,0,,,
case-656157e34a42feec3ad8,mf-b4e7a2d6f9109b8d5047,src/main/java/net/openhft/chronicle/wire/Wires.java,1944,Javadoc `@param o` does not match the renamed parameter `target` in getMap(Object target) -- produces Javadoc warnings and misleading documentation,The method signature is `getMap(Object target)` but the Javadoc says `@param o The object whose fields map needs to be fetched.` Javadoc toolchain (javadoc -Xdoclint) emits a warning about unmatched @param tag. The documentation references a parameter name `o` that no longer exists.,unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-7b13d633a68230180fe4,src/models/eval.ts,513,totalCount uses count(*) (all result rows) but filteredCount uses COUNT(DISTINCT test_idx) — mismatched units displayed as 'X of Y results' in the UI,An eval with 10 test cases and 3 prompts per case produces totalCount=30 (result rows) but filteredCount=10 (distinct test indices). The UI shows '10 of 30 results' even though there are only 10 test cases.,unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-5f591305b752997b2784,src/app/src/pages/eval/components/ResultsTable.tsx,380,"numTests defined as testPassCount + testFailCount, excluding testErrorCount — inflates pass rate, per-test cost, avg tokens, and avg latency in the header","An eval with 80 pass / 10 fail / 10 error results displays '88.89% passing (80/90 cases)' instead of '80% passing (80/100 cases)', and per-test cost is inflated by dividing total cost by 90 instead of 100.",unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-e46d3cd4669b40cf3dca,src/app/src/pages/eval/components/ResultsTable.tsx,779,"When filteredResultsCount is 0, pageCount = 0 and maxPageIndex = -1, allowing safeRowPageIndex = -1 and a negative pagination.pageIndex","URL contains rowId parameter while filters produce zero results. pagination.pageIndex is set to -1, which React Table's manual pagination does not handle — could cause rendering errors or infinite loops.",unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-3a42851508ebcf6e4e43,src/app/src/pages/eval/components/Eval.tsx,66,"setEvalId(id) called before fetchEvalData; on fetch failure, evalId is left pointing to the failed eval while table/config may be stale from a previous successful load","User navigates to eval A (loads correctly), then to eval B (fails/404). Store keeps evalId=B but table/config from eval A. UI shows eval A's data labeled as eval B, and subsequent operations use the wrong evalId.",unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-1fdcb096be9a926af5b9,src/database/tables.ts,131,"testCaseMetadataIdx indexes json_extract(metadata, '$') instead of json_extract(test_case, '$.metadata'), and is duplicated by metadataIdx on line 137 — search on test_case.metadata has no index coverage","Search queries filtering on test_case metadata ('json_extract(test_case, $.metadata) LIKE %...%') get no index assistance, causing full table scans. The two duplicate indexes on json_extract(metadata, '$') waste storage and write overhead.",unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-4a64a88a3fb3c1611239,src/app/src/pages/eval/components/ResultsTable.tsx,372,"Header stats read prompt.metrics from server, which are absent for evals created before this PR — old evals display '0.00% passing (0/0 cases)' with zero token/cost/latency stats","A user views an eval created before the PR deployment. The eval's saved prompts have no metrics object. All header stats show 0 or empty values — '0.00% passing (0/0 cases)', $0.00 cost, 0 tokens, 0ms latency — despite valid results existing.",unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-b77a250627043adcb48c,src/providers/bam.ts,46,BAMModerations interface drops the social_bias field and changes structure from {input: {enabled: boolean}} to {input?: boolean} — breaking existing BAM provider moderation configs,"A user has a promptfoo config with BAM provider and moderations: { social_bias: { input: { enabled: true, threshold: 0.7 } } }. After this change, social_bias is silently dropped from the API request, and the nested enabled boolean is no longer parsed correctly, disabling content moderation.",unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-e74e30addb9f4dfcd1d9,src/app/src/pages/eval/components/store.ts,111,comparisonEvalIds stored in zustand persist middleware survives page reloads — stale eval IDs from deleted evals cause all table requests to fail with 404,"User adds a comparison eval, closes the browser. Days later, that comparison eval has been deleted. On page reload, the stale comparisonEvalIds are sent to the /eval/:id/table endpoint. The server returns 404 for the entire request, and the main eval table also fails to load.",unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-01a355e579cd8bfe5fdb,src/app/src/pages/eval/components/ResultsView.tsx,179,"Search debounce increased from 200ms to 1000ms, making search feel 5x slower with server-side processing on top","User types a search query. Previously debounced at 200ms (near-instant feedback), now debounced at 1000ms (1-second delay) plus network round-trip. Combined with server-side search, total latency exceeds 1 second, degrading UX significantly.",unmatched_to_codeql,0,,,
case-7769db528e070342d826,mf-de5ac4e12266821e0fde,src/redteam/providers/iterative.ts,267,"Grader.getResult now unconditionally passes goal instead of conditionally passing newInjectVar for intent plugin — combined with simplified IntentGrader rubric, this changes the evaluated prompt for intent-based red team tests","An intent-based red team test with pluginId='intent' previously passed the dynamic newInjectVar (the crafted jailbreak prompt) to the grader. Now it passes goal (the high-level intent). Combined with the IntentGrader rubric change removing multi-turn context, the grader evaluates a different input, potentially producing different pass/fail results.",unmatched_to_codeql,0,,,
case-7c75f021c35395eadfeb,mf-8834ee74b07773fb6d6c,src/enrichmcp/sqlalchemy/auto.py,140,"getattr(target_sa, relation.back_populates) raises TypeError when back_populates is None for unidirectional relationships — a regression from the old code which used session.get() + session.refresh() and did not require back_populates","SQLAlchemy model defines orders: Mapped[list['Order']] = relationship() without back_populates. The auto-generated list resolver crashes with TypeError: getattr(): attribute name must be string because getattr(target_sa, None) is called.",unmatched_to_codeql,0,,,
case-7c75f021c35395eadfeb,mf-17ce49705ee5d32e8b59,src/enrichmcp/sqlalchemy/auto.py,144,"The pagination query select(target_sa).join(back_attr).where(primary_col == entity_id) has no ORDER BY clause, making paginated results non-deterministic — items can appear on different pages or be missed across requests","A client calls page 1 (page_size=20) then page 2 on the same relationship resolver. Because the database returns rows in arbitrary order, item X appears on page 1 in the first call but also on page 2 in a subsequent call, or is entirely missed by both pages.",unmatched_to_codeql,0,,,
