case_id,case_control,target_family,group,repo_name,pr_number,language,task_type,model_finding_id,file,line,match_status,candidate_reference_n,matched_reference_family,matched_rule_id,same_case_reference_n,same_file_reference_n,codeql_relation,matched_reference_ids,relation_confidence,relation_rationale,adjudicator_type,automatic_recovered,automatic_semantic_agreement
case-337b59edf712fccfe514,control,quality,ai,mendableai/firecrawl,1547,TypeScript,fix,mf-619a5f9794a756618cc5,apps/api/src/controllers/v1/types.ts,34,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-337b59edf712fccfe514,control,quality,ai,mendableai/firecrawl,1547,TypeScript,fix,mf-acfc5a04c490cbfa2f02,apps/api/src/controllers/v1/types.ts,34,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-337b59edf712fccfe514,control,quality,ai,mendableai/firecrawl,1547,TypeScript,fix,mf-2a781417389326b186aa,apps/api/src/controllers/v1/types.ts,33,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-337b59edf712fccfe514,control,quality,ai,mendableai/firecrawl,1547,TypeScript,fix,mf-e9637b78a3d68abe2207,apps/api/src/controllers/v1/types.ts,36,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-3579bc98fa0e953b64f7,control,quality,ai,Significant-Gravitas/AutoGPT,9968,Python,fix,mf-30f32a0977aea9d3d747,autogpt_platform/backend/backend/blocks/google/gmail.py,177,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-3579bc98fa0e953b64f7,control,quality,ai,Significant-Gravitas/AutoGPT,9968,Python,fix,mf-4fc648e96741f6fcc33a,autogpt_platform/backend/backend/blocks/google/gmail.py,185,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-3579bc98fa0e953b64f7,control,quality,ai,Significant-Gravitas/AutoGPT,9968,Python,fix,mf-304226469be09976571c,autogpt_platform/backend/backend/blocks/google/gmail.py,249,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-4bdf822f70334d0f1dc2,control,quality,ai,mlflow/mlflow,16551,Python,feat,mf-dc7c937399e82231dd08,.github/workflows/preview-comment.js,18,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-4bdf822f70334d0f1dc2,control,quality,ai,mlflow/mlflow,16551,Python,feat,mf-ec6c7546059e682c960b,.github/workflows/preview-docs.yml,73,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-525cca57fa45a53cdf40,control,quality,ai,jina-ai/node-DeepResearch,5,TypeScript,refactor,mf-85547bb09960bb772937,src/tools/getURLIndex.ts,3,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-554adcd81abcd45211d3,control,quality,ai,sam-goodwin/alchemy,406,TypeScript,feat,mf-2f57e692c564d02712c5,alchemy/src/stripe/price.ts,483,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-554adcd81abcd45211d3,control,quality,ai,sam-goodwin/alchemy,406,TypeScript,feat,mf-6a6d572f62b3b2b1e88c,alchemy/src/stripe/price.ts,351,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,Java,refactor,mf-45dde033b9599c33a3b2,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/DoubleFieldInfo.java,48,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,Java,refactor,mf-3dbf6370d448e5fe088a,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/IntFieldInfo.java,48,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,Java,refactor,mf-1870ab7f8c113eb4b3fe,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/LongFieldInfo.java,48,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,Java,refactor,mf-850c1724e31d0f691a89,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/CharFieldInfo.java,49,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,Java,refactor,mf-eb8a055e89c3a242863b,src/main/java/net/openhft/chronicle/wire/internal/fieldinfo/ObjectFieldInfo.java,51,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,Java,refactor,mf-15a66c1edbf2d781b2aa,src/main/java/net/openhft/chronicle/wire/Wires.java,1982,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,Java,refactor,mf-63d6cd044015bc793ff6,src/main/java/net/openhft/chronicle/wire/FieldInfo.java,35,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-656157e34a42feec3ad8,control,quality,ai,OpenHFT/Chronicle-Wire,1062,Java,refactor,mf-b4e7a2d6f9109b8d5047,src/main/java/net/openhft/chronicle/wire/Wires.java,1944,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-7b13d633a68230180fe4,src/models/eval.ts,513,unmatched_to_codeql,0,,,2,1,no_match,,high,The inconsistent result-count units are unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-5f591305b752997b2784,src/app/src/pages/eval/components/ResultsTable.tsx,380,unmatched_to_codeql,0,,,2,0,no_match,,high,The denominator omits error tests and is unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-e46d3cd4669b40cf3dca,src/app/src/pages/eval/components/ResultsTable.tsx,779,unmatched_to_codeql,0,,,2,0,no_match,,high,The negative empty-result page index is unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-3a42851508ebcf6e4e43,src/app/src/pages/eval/components/Eval.tsx,66,unmatched_to_codeql,0,,,2,0,no_match,,high,The partially updated eval selection state is unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-1fdcb096be9a926af5b9,src/database/tables.ts,131,unmatched_to_codeql,0,,,2,0,no_match,,high,The incorrect metadata index expression is unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-4a64a88a3fb3c1611239,src/app/src/pages/eval/components/ResultsTable.tsx,372,unmatched_to_codeql,0,,,2,0,no_match,,high,Missing metrics for legacy evals are unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-b77a250627043adcb48c,src/providers/bam.ts,46,unmatched_to_codeql,0,,,2,0,no_match,,high,The breaking moderation configuration shape is unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-e74e30addb9f4dfcd1d9,src/app/src/pages/eval/components/store.ts,111,unmatched_to_codeql,0,,,2,0,no_match,,high,Persisting stale comparison IDs is unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-01a355e579cd8bfe5fdb,src/app/src/pages/eval/components/ResultsView.tsx,179,unmatched_to_codeql,0,,,2,0,no_match,,high,The increased UI debounce is unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7769db528e070342d826,control,quality,ai,promptfoo/promptfoo,4054,TypeScript,feat,mf-de5ac4e12266821e0fde,src/redteam/providers/iterative.ts,267,unmatched_to_codeql,0,,,2,0,no_match,,high,The changed intent-grader input is unrelated to CodeQL's log-injection alerts.,LLM_assistant,0,1
case-7c75f021c35395eadfeb,control,quality,ai,featureform/enrichmcp,90,Python,feat,mf-8834ee74b07773fb6d6c,src/enrichmcp/sqlalchemy/auto.py,140,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-7c75f021c35395eadfeb,control,quality,ai,featureform/enrichmcp,90,Python,feat,mf-17ce49705ee5d32e8b59,src/enrichmcp/sqlalchemy/auto.py,144,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-7c75f021c35395eadfeb,control,quality,ai,featureform/enrichmcp,90,Python,feat,mf-95fbc4ad5338f9588f62,src/enrichmcp/sqlalchemy/auto.py,147,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-7c75f021c35395eadfeb,control,quality,ai,featureform/enrichmcp,90,Python,feat,mf-868d9c1b7c5e2dabe8f7,tests/test_examples.py,10,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-876b04abf7d9fca64331,control,quality,ai,airbytehq/airbyte,60252,Python,feat,mf-ad60503aa74ae62ecd65,airbyte-integrations/connectors/source-mongodb-v2/acceptance-test-config.yml,7,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-876b04abf7d9fca64331,control,quality,ai,airbytehq/airbyte,60252,Python,feat,mf-9b97c39c375cc9549d2f,airbyte-integrations/connectors/source-mongodb-v2/src/main/java/io/airbyte/integrations/source/mongodb/cdc/MongoDbCdcInitializer.java,100,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-876b04abf7d9fca64331,control,quality,ai,airbytehq/airbyte,60252,Python,feat,mf-ce4af98e1019d0cc1ca3,airbyte-integrations/connectors/source-mongodb-v2/src/main/java/io/airbyte/integrations/source/mongodb/InitialSnapshotHandler.java,65,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-876b04abf7d9fca64331,control,quality,ai,airbytehq/airbyte,60252,Python,feat,mf-b2836533cb96aed384f3,airbyte-integrations/connectors/source-mongodb-v2/src/main/java/io/airbyte/integrations/source/mongodb/cdc/MongoDbDebeziumStateUtil.java,163,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-876b04abf7d9fca64331,control,quality,ai,airbytehq/airbyte,60252,Python,feat,mf-73b1d3844fae37d1e8b6,airbyte-integrations/connectors/source-mongodb-v2/src/test/java/io/airbyte/integrations/source/mongodb/cdc/MongoDbCdcTargetPositionTest.java,1017,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-890543742b2667251625,control,quality,ai,TobikoData/sqlmesh,5042,Python,feat,mf-806043ae73fe69b3c4dd,vscode/extension/src/tests/tests.ts,77,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-890543742b2667251625,control,quality,ai,TobikoData/sqlmesh,5042,Python,feat,mf-7ef873c9c5b5d07ffcbb,vscode/extension/src/tests/tests.ts,80,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-890543742b2667251625,control,quality,ai,TobikoData/sqlmesh,5042,Python,feat,mf-c3ed11ffbdc64c08bb75,vscode/extension/src/extension.ts,132,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-890543742b2667251625,control,quality,ai,TobikoData/sqlmesh,5042,Python,feat,mf-d6828dd31a57367b768b,vscode/extension/src/tests/tests.ts,69,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-890543742b2667251625,control,quality,ai,TobikoData/sqlmesh,5042,Python,feat,mf-c9b0ef5723a8bc9faf9f,vscode/extension/src/tests/tests.ts,74,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-8e3569ec12253aacd7c7,control,quality,ai,jina-ai/node-DeepResearch,29,TypeScript,feat,mf-9ddb3fa49e20f9767fc3,src/cli.ts,3,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-8e3569ec12253aacd7c7,control,quality,ai,jina-ai/node-DeepResearch,29,TypeScript,feat,mf-2ab69a24921bd576a388,package.json,4,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-8e3569ec12253aacd7c7,control,quality,ai,jina-ai/node-DeepResearch,29,TypeScript,feat,mf-e8fe413e5d4fa61827d7,src/agent.ts,421,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-8e3569ec12253aacd7c7,control,quality,ai,jina-ai/node-DeepResearch,29,TypeScript,feat,mf-424e9c1559a64bbee3b5,src/cli.ts,14,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-8e3569ec12253aacd7c7,control,quality,ai,jina-ai/node-DeepResearch,29,TypeScript,feat,mf-818a05abbb98ba139ae2,src/__tests__/cli.test.ts,9,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-8e3569ec12253aacd7c7,control,quality,ai,jina-ai/node-DeepResearch,29,TypeScript,feat,mf-0a983e3ac7205a902bda,.github/workflows/npm-publish.yml,24,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-8e3569ec12253aacd7c7,control,quality,ai,jina-ai/node-DeepResearch,29,TypeScript,feat,mf-c4c57c7d25d84a4ae814,package.json,44,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-906c229655ff5b2d845d,control,quality,ai,567-labs/instructor,1735,Python,feat,mf-0e43fdd27856994e5e10,instructor/providers/xai/client.py,97,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-906c229655ff5b2d845d,control,quality,ai,567-labs/instructor,1735,Python,feat,mf-22ad0db4dcc41575c508,instructor/providers/xai/client.py,100,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-906c229655ff5b2d845d,control,quality,ai,567-labs/instructor,1735,Python,feat,mf-6b3f2598548ecc49e7e7,tests/llm/test_xai/test_raw_response.py,167,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-942f9d868ba8d76f17e5,control,quality,ai,microsoft/autogen,6697,Python,feat,mf-8f965c08be3fa9bded51,python/packages/autogen-ext/src/autogen_ext/models/cache/_chat_completion_cache.py,120,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
case-942f9d868ba8d76f17e5,control,quality,ai,microsoft/autogen,6697,Python,feat,mf-d379db7ed361eb301fb5,python/packages/autogen-ext/src/autogen_ext/models/ollama/_ollama_client.py,591,unmatched_to_codeql,0,,,0,0,no_reference,,high,The frozen all_case_reference_alerts inventory contains zero CodeQL reference rows for this case; semantic equivalence therefore cannot be evaluated.,deterministic_rule,0,1
