root_cause_cluster_id,repo_name,pr_number,cluster_key_within_pr,review_reasons,alert_n,rule_n,root_cause_category,mechanism_subcategory,confidence,audit_outcome,audit_basis,audit_note
rccluster-e822cd95457f9e562fdb,airbytehq/airbyte,62455,proxy-test-side-effect-result-bindings,large_cluster,6,1,redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,high,confirmed,repeated_test_binding_pattern,All six calls are executed for effects while their result bindings are not used.
rccluster-4c6c051aba63bff1e939,different-ai/note-companion,331,mobile-root-layout-unused-alternatives,non_high_confidence,3,1,incomplete_change_coordination,unintegrated_element_in_new_code,medium,confirmed,single_layout_alternative_scaffold,Diff and head context support one set of alternative router/authentication bindings; medium confidence remains conservative.
rccluster-ee1b859966f5052ad27e,dust-tt/dust,10572,read-only-nested-class-conditionals,large_cluster,5,1,control_state_or_dataflow_miscomposition,invalid_or_trivial_control_path,high,confirmed,systematic_guard_pattern,All five nested conditions repeat the same check under an enclosing !readOnly branch.
rccluster-b0ea91bb6ad7ba6bf367,elizaOS/eliza,4935,message-uuid-validator-import-residue,non_high_confidence,1,1,incomplete_change_coordination,incomplete_cleanup_after_modification,medium,confirmed,partial_context_before_head_evidence,Available before/head review evidence supports cleanup residue; medium confidence remains because the local packet is partial.
rccluster-490c4e0dca174493f43e,elizaOS/eliza,5490,action-chaining-test-unused-mock-import,non_high_confidence,1,1,incomplete_change_coordination,unintegrated_element_in_new_code,medium,confirmed,partial_context_complete_file_review,The reviewed new test uses a manual double instead of bun:test mock; medium confidence remains because the packet is partial.
rccluster-13aca7f93fc27a24c916,getsentry/sentry,93304,language-parser-reverse-import-cycles,large_cluster,5,1,dependency_error_or_resource_mismanagement,dependency_cycle_or_duplicate_path,high,confirmed,single_reverse_dependency,The new language-parser dependency explains all five reported cycle entry points.
rccluster-d2e7d48c08bffbd2490e,jxxghp/MoviePilot,4577,memory-diagnostics-bare-handlers,cross_rule;large_cluster,10,2,dependency_error_or_resource_mismanagement,missing_or_overbroad_failure_handling,high,confirmed,repeated_same_handler_pattern,The two rules jointly describe the same ten bare empty handlers.
rccluster-f792c5691a26c343dfc3,maybe-finance/maybe,2389,system-test-side-effect-result-bindings,large_cluster,5,1,redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,high,confirmed,repeated_test_binding_pattern,All five API-key records are created for database effects while the local result is unused.
rccluster-302a1b104d201c23718c,microsoft/RD-Agent,975,v3-override-contract-not-propagated,cross_rule;large_cluster,6,2,interface_or_contract_mismatch,override_or_type_contract_mismatch,high,confirmed,versioned_subclass_contract_drift,The V3 overrides share one unpropagated base-contract change; the dropped inject_diverse argument explains the linked unused bindings.
rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,deprecated-lsp-symbol-api-adoption,large_cluster,66,1,interface_or_contract_mismatch,api_lifecycle_or_declaration_mismatch,high,confirmed,single_api_selection,All 66 calls systematically adopt the same deprecated API family.
rccluster-405b90bf7d928b38532c,onlook-dev/onlook,2088,typography-panel-unconnected-control-state,large_cluster,7,1,incomplete_change_coordination,unintegrated_element_in_new_code,high,confirmed,single_component_scaffold,The seven bindings are unconnected state for controls in one new typography panel.
rccluster-5dadc583cef1f7ca0b2a,openai/openai-agents-python,729,trace-provider-reverse-import-cycle,cross_rule;large_cluster,7,2,dependency_error_or_resource_mismanagement,dependency_cycle_or_duplicate_path,high,confirmed,single_reverse_dependency,One util-to-setup dependency produces both cycle rules and the seven manifestations.
rccluster-f504dbcb0461eb638a80,oraios/serena,286,runtime-dependency-migration-residue,cross_rule;large_cluster,12,2,incomplete_change_coordination,incomplete_cleanup_after_modification,high,confirmed,systematic_cross_file_migration,All 12 findings are obsolete imports or intermediates left by the same RuntimeDependencyCollection migration.
rccluster-4b224d821017ce974aa9,ruvnet/claude-flow,519,agent-type-api-wiring-mismatch,cross_rule,2,2,interface_or_contract_mismatch,api_lifecycle_or_declaration_mismatch,high,confirmed,single_api_integration,The non-callable utility and unused alternative helper occur in the same dynamic agent-type API integration.
rccluster-faa74acf34f8be6123d6,ryokun6/ryos,131,empty-changed-rooms-loop-residue,cross_rule,2,2,incomplete_change_coordination,incomplete_cleanup_after_modification,high,confirmed,same_empty_loop,Both rules describe the same empty retained loop and iterator.
rccluster-df7d370cf132e3979a90,ryokun6/ryos,195,chat-url-array-not-connected,non_high_confidence,1,1,incomplete_change_coordination,unintegrated_element_in_new_code,medium,confirmed,partial_context_local_dataflow,The available method context shows urls is isolated while urlMatches carries the data; medium confidence remains because the packet is partial.
rccluster-33ebb4e4319a6f1ee5a5,sam-goodwin/alchemy,251,stripe-cleanup-variable-shadowing,large_cluster,5,1,control_state_or_dataflow_miscomposition,state_initialization_or_liveness_gap,high,confirmed,repeated_shadowing_pattern,All five manifestations come from the same inner-const shadowing pattern across three Stripe cleanup tests.
rccluster-053a63f808b61bb5bd43,spcl/dace,2019,redundant-dace-module-import,cross_rule,2,2,redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,high,confirmed,same_import_statement,The mixed-import and unused-import rules target the same redundant module import.
rccluster-6f99608447c03fd3c812,unclecode/crawl4ai,1152,finally-return-overrides-function-outcome,cross_rule,2,2,control_state_or_dataflow_miscomposition,invalid_or_trivial_control_path,high,confirmed,same_finally_return,Both rules arise from one bare return in finally.
rccluster-c4172751de38c202fd0a,unsend-dev/unsend,164,removed-team-lookup-import-residue,large_cluster,14,1,incomplete_change_coordination,inconsistent_propagation_across_dependent_sites,high,confirmed,systematic_cross_file_refactor,The same authorization change removed the lookup consumer but retained imports at 14 endpoint sites.
rccluster-dd496ef0d1e7fac95de8,willccbb/verifiers,161,silent-toxicity-score-parse-handler,cross_rule,2,2,dependency_error_or_resource_mismanagement,missing_or_overbroad_failure_handling,high,confirmed,same_bare_handler,Both rules describe one bare empty handler.
rccluster-4baad9bcf04f1e2777b5,wizarrrr/wizarr,579,jellyfin-method-indentation-break,cross_rule,2,2,control_state_or_dataflow_miscomposition,invalid_or_trivial_control_path,high,confirmed,same_indentation_edit,The outside-function return and unreachable method are consequences of the same indentation break.
