case_id,group,repo_name,pr_number,language,task_type,reference_id,alert_id,rule_id,rule_name,quality_category,semantic_recovered,rq1_mechanism_category,rq1_mechanism_label,mechanism_subcategory,root_cause_cluster_id,mapping_source,mapping_status,mapping_confidence,mapping_rationale
case-297b8514fd048d20c40e,ai,antiwork/gumroad,615,Ruby,feat,sf-d1115807d6e72d59553a,qalert-285ca85bf4bea0db4c674930,rb/uninitialized-local-variable,Potentially uninitialized local variable,correctness_reliability,1,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",state_initialization_or_liveness_gap,rccluster-7d54ea3b2b76810e349c,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new report job initializes temp_file inside the begin block but closes it unconditionally in ensure, so an exception during Tempfile construction reaches a read before assignment."
case-2d93edefa9bf78e1efb4,ai,SimonHalvdansson/Harmonic-HN,216,Java,feat,sf-2415746867738a4452bb,qalert-a73358c299e1f4dfa5a53438,java/dereferenced-value-may-be-null,Dereferenced variable may be null,correctness_reliability,0,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_expression_or_value_composition,rccluster-5b994b7d5981e6103253,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new updateUserTags method dereferences adapter on the story-author path before applying the adapter null guard used for comment-author updates later in the same method.
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-27da057359b03c8f1cc9,qalert-fd580e2c1660ed9412c7f65b,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-2a026153bb37163cb108,qalert-14c8c2a34b8d89081c1627f2,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-557d77ffdfcd54db74e6,qalert-67eb5d393a7d0ab9387867a0,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-6bc931a713e606ee59a5,qalert-63d3083a0d85e83a5b4c8c01,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-7222b359df14c48a6019,qalert-77bed0ba35d9553a6b8c84e4,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-7d836c22dbb5f775cca9,qalert-55305bdd3d98bdbd41037c3e,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-a944c7fc8b5442100ebb,qalert-726d25584b173e71f9c3017a,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-b322c91b6da3ceb0e320,qalert-c79c9a4468fbbf77b9cc5fce,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-f10c6c35948b7520a413,qalert-dd245629f81fd58bc299d2f3,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-315d6ae6a9b8cfaf69af,ai,jxxghp/MoviePilot,4577,Python,feat,sf-fb0479503d4b4c76a059,qalert-ce49ea43531000406adee3bb,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-d2e7d48c08bffbd2490e,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The expanded memory diagnostics repeatedly used untyped handlers around parsing and object inspection, causing ordinary failures and BaseException subclasses to be silently discarded across the feature."
case-4305c02b5fa838228719,ai,AgentOps-AI/agentops,729,Python,fix,sf-db0ad4255383099c1685,qalert-2d305da99041dfa5cef31891,py/undefined-export,Explicit export is not defined,correctness_reliability,1,incomplete_change_coordination,Incomplete change coordination,incomplete_cleanup_after_modification,rccluster-6b2884568fcb892ef9f6,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The session package removed the current function but retained current in __all__, leaving the public export list pointed at a deleted definition."
case-4a764f3847aeba71b091,ai,Skyvern-AI/skyvern,2435,Python,feat,sf-70297f53645d61943159,qalert-1d51bf2b3c2112f4406afd06,py/cyclic-import,Cyclic import,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",dependency_cycle_or_duplicate_path,rccluster-9bf17e0c7a128d837a26,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The task-v2 response change adds a module-level dependency from task_v2_service to workflow_service, closing an existing path through workflow service, executor factory, and async executor back to task_v2_service and exposing three executor definitions before initialization."
case-58d2a55832abcd11e69d,ai,airbytehq/airbyte,52663,Python,feat,sf-baf43c533bc7dca99a82,qalert-9ecb4b4956dbf6eebe6cfd1a,py/file-not-closed,File is not always closed,performance_efficiency,1,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",incomplete_resource_lifecycle,rccluster-d436c7eb52128a026a20,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The base-image command passes a newly opened dagger.log stream as log_output without a context manager or explicit close.
case-5bc4ea80f1c42b093e67,ai,willccbb/verifiers,161,Python,feat,sf-604eb391bf6dcbca5586,qalert-4bf44f2f9f1faee8de7f163e,py/empty-except,Empty except,correctness_reliability,1,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-dd496ef0d1e7fac95de8,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new toxicity explanation environment used a bare empty handler for score parsing, simultaneously suppressing ordinary parse failures and BaseException subclasses."
case-5bc4ea80f1c42b093e67,ai,willccbb/verifiers,161,Python,feat,sf-cb35e23bf36e4b979a2e,qalert-9979c09fd05b732bfa9533cf,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,1,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-dd496ef0d1e7fac95de8,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new toxicity explanation environment used a bare empty handler for score parsing, simultaneously suppressing ordinary parse failures and BaseException subclasses."
case-74c18a92c1535b657998,ai,crewAIInc/crewAI,2994,Python,fix,sf-b4c52e22aba3d2848941,qalert-dffede82416cf26671dfe899,py/unsafe-cyclic-import,Module-level cyclic import,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",dependency_cycle_or_duplicate_path,rccluster-0b624cbc7b276742f642,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The mixin added a module-level import of event_listener, while event_listener imports that mixin before defining its singleton, creating an initialization-order cycle."
case-7c3045f6e85b3f5f1b49,ai,mendableai/firecrawl,1557,TypeScript,fix,sf-0ab9105539eb8a738033,qalert-42df6b0300fcd1e0796ff458,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-bd787723ca271c6358de,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The LLM-text generator added a statement without an explicit semicolon in a function where surrounding statements consistently used terminators.
case-83f2a806231ce243a56f,ai,Shelf-nu/shelf.nu,1905,TypeScript,feat,sf-eac83d18e32b3ac8533b,qalert-c588f2e2c63c1ed081e02a5c,js/trivial-conditional,Useless conditional,correctness_reliability,0,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-a963c1059230d4786e41,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The added duplicate-check branch tested item after the immediately preceding guard had already returned for every falsy item, making that part of the condition invariantly true."
case-88ffb0e14443460c1357,ai,langbot-app/LangBot,1418,Python,feat,sf-b4b82a67272a43bc9eb0,qalert-7f267b813c8c2d9ed8969510,py/commented-out-code,Commented-out code,maintainability,0,incomplete_change_coordination,Incomplete change coordination,incomplete_cleanup_after_modification,rccluster-6d6cce2ed0015233ddca,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new Gemini requester leaves an entire image_url content branch as commented executable code instead of integrating or removing it.
case-8f13a23ad6dd97124ee6,ai,reflex-dev/reflex,5555,Python,refactor,sf-da658500fb1fd64f6580,qalert-c283aabc0db4fe8f82b6dac4,py/empty-except,Empty except,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-58d79fda769fc9c49d38,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The test harness added an empty handler that silently absorbs ProcessLookupError together with broad OSError during server termination, without preserving, narrowing, or explaining the failure path."
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-6a641e07e974627c9b1b,qalert-b2970b5247eba4a8a86baeda,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-21fb698b8728966835e9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,Four statements added to crawl-status omit explicit semicolons despite the enclosing functions' 94-96% explicit-semicolon convention.
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-81104ab36b7d321a64b4,qalert-5a67fef6365dd5f4fff9a971,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-21fb698b8728966835e9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,Four statements added to crawl-status omit explicit semicolons despite the enclosing functions' 94-96% explicit-semicolon convention.
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-a1c539505d552c3b68ae,qalert-0058da3aa8961648627d7636,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-21fb698b8728966835e9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,Four statements added to crawl-status omit explicit semicolons despite the enclosing functions' 94-96% explicit-semicolon convention.
case-92bf2b6fee0cab272d63,ai,mendableai/firecrawl,1851,TypeScript,feat,sf-bf7e7cf2d1e168f6bcb9,qalert-6bf66278b048719800bc265e,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-21fb698b8728966835e9,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,Four statements added to crawl-status omit explicit semicolons despite the enclosing functions' 94-96% explicit-semicolon convention.
case-945185d91e4e23d356a8,ai,jina-ai/node-DeepResearch,2,TypeScript,refactor,sf-5a4bf499643a8f6f894e,qalert-57c0eabe51f2c90f454d1c43,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-5cdcd2d18989e1172b27,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The modified query rewriter added a statement without an explicit terminator in a function where surrounding statements consistently used semicolons.
case-9f4690cc7d4420be0c68,ai,mendableai/firecrawl,1676,TypeScript,feat,sf-2093911c47d6ba072532,qalert-9d4a1cddfd7e362dc372aa6e,js/unreachable-statement,Unreachable statement,correctness_reliability,1,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-e9b212549907727cfdc2,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The crawler's external-link branch now returns unconditionally before its allowSubdomains check, making that later filtering statement unreachable."
case-aafc976b852cd121ef7e,ai,keephq/keep,5074,Python,feat,sf-834cae4b17d638baefbd,qalert-6b341ca368e53064f491dbc4,py/inheritance/signature-mismatch,Signature mismatch in overriding method,correctness_reliability,0,interface_or_contract_mismatch,Interface or contract mismatch,override_or_type_contract_mismatch,rccluster-48c5f9b21a8db14b02fc,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new OpenShift provider made command_type and action required positional parameters in _query and _notify, narrowing both override signatures relative to BaseProvider."
case-aafc976b852cd121ef7e,ai,keephq/keep,5074,Python,feat,sf-ad2642f4d4410485c8ab,qalert-23b167d4dfd8d91e9a947efd,py/inheritance/signature-mismatch,Signature mismatch in overriding method,correctness_reliability,0,interface_or_contract_mismatch,Interface or contract mismatch,override_or_type_contract_mismatch,rccluster-48c5f9b21a8db14b02fc,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new OpenShift provider made command_type and action required positional parameters in _query and _notify, narrowing both override signatures relative to BaseProvider."
case-bd5b217579b468056361,ai,airbytehq/airbyte,55005,Python,feat,sf-9bd12a3a7915c4b27d1d,qalert-816ccf27568f029e27695127,py/commented-out-code,Commented-out code,maintainability,1,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-3f9bbed4e65485bcf498,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new migration pipeline retained a complete _has_subdirectory conditional as disabled source text instead of executable behavior or an explanatory comment.
case-bf504bf40300ad6e13d5,ai,airbytehq/airbyte,54164,Python,refactor,sf-48dde9094c4f29556039,qalert-6776aaa0fbed6b8da1f895eb,py/side-effect-in-assert,An assert statement has a side-effect,correctness_reliability,0,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_expression_or_value_composition,rccluster-4a784fa8c8c1f2cd10cc,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The component test moved responses.pop(0) into the assert expression, coupling the required list mutation to assertion execution so optimized runs skip both the check and the state transition."
case-cdcb44d35c9fd57cf181,ai,robinkarlberg/transfer.zip-web,36,JavaScript,feat,sf-9f72acadf2941537d39f,qalert-e31755b8be4c9f2d9724586b,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,0,redundant_or_locally_inconsistent_construction,Redundant or locally inconsistent construction,local_syntax_style_or_annotation_inconsistency,rccluster-006ef37f856c6a467e36,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The new zip-file helper omits an explicit semicolon on one statement despite the enclosing function's prevailing explicit-semicolon convention.
case-dd8a6cbe3c950793b3a1,ai,TobikoData/sqlmesh,4667,Python,feat,sf-80a69a188f9920e6084e,qalert-42032d2b96d373c0ed3511dc,py/empty-except,Empty except,correctness_reliability,1,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-6d9022adede7f615bf88,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The new get_macros completion path caught every Exception and discarded it with an empty handler, suppressing failures without documenting an expected exception."
case-e7abb649407ce2a06e66,ai,liam-hq/liam,1880,TypeScript,feat,sf-b794be683db37af787fa,qalert-d1cd618e418c4ecb7d8be980,js/trivial-conditional,Useless conditional,correctness_reliability,0,control_state_or_dataflow_miscomposition,"Control-, state-, or data-flow miscomposition",invalid_or_trivial_control_path,rccluster-f6fc658f86c819f96f31,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"RecentsSection returns early whenever isExpanded is false and then tests isExpanded again in its expanded layout classes, making that later condition invariably true."
case-eb632a8157027d4e78d3,ai,SimonHalvdansson/Harmonic-HN,220,Java,feat,sf-66f43337977775ee9dbe,qalert-9e15ed31fd679eb58617b81b,java/uncaught-number-format-exception,Missing catch of NumberFormatException,correctness_reliability,1,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-76ee4701a764b7ebf4ec,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The cached-story loader parses both fields of persisted delimiter-separated data as numeric values without handling malformed or stale cache entries that raise NumberFormatException.
case-eb632a8157027d4e78d3,ai,SimonHalvdansson/Harmonic-HN,220,Java,feat,sf-d1d49c96d7e500dfccb1,qalert-f662cd37d5af9692b7c60e33,java/uncaught-number-format-exception,Missing catch of NumberFormatException,correctness_reliability,1,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",missing_or_overbroad_failure_handling,rccluster-76ee4701a764b7ebf4ec,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,The cached-story loader parses both fields of persisted delimiter-separated data as numeric values without handling malformed or stale cache entries that raise NumberFormatException.
case-ed5b3f75ec8a328974da,ai,OpenHFT/Chronicle-Wire,1058,Java,refactor,sf-057ce80955fd5d689429,qalert-6e236a60a4bc73b4c7dc0927,java/unknown-javadoc-parameter,Spurious Javadoc @param tags,maintainability,0,interface_or_contract_mismatch,Interface or contract mismatch,export_documentation_or_metadata_mismatch,rccluster-f5760f63afac089f39dd,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The parameter-naming cleanup changed the write(CharSequence) declaration from key to fieldName without changing its @param tag, while changing the writeEventName documentation to fieldName without renaming that method's key parameter."
case-ed5b3f75ec8a328974da,ai,OpenHFT/Chronicle-Wire,1058,Java,refactor,sf-8fc2e9e5ea02382479e5,qalert-05eca8093b7e52f050c8bf27,java/unknown-javadoc-parameter,Spurious Javadoc @param tags,maintainability,0,interface_or_contract_mismatch,Interface or contract mismatch,export_documentation_or_metadata_mismatch,rccluster-f5760f63afac089f39dd,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The parameter-naming cleanup changed the write(CharSequence) declaration from key to fieldName without changing its @param tag, while changing the writeEventName documentation to fieldName without renaming that method's key parameter."
case-f81566b1a6263aebc2fc,ai,getsentry/sentry,93304,Python,feat,sf-0a5f7c84800d35700fe7,qalert-b41a3c0a32b462d3617a5987,py/cyclic-import,Cyclic import,correctness_reliability,0,dependency_error_or_resource_mismanagement,"Dependency, error, or resource mismanagement",dependency_cycle_or_duplicate_path,rccluster-13aca7f93fc27a24c916,frozen_rq1_root_cause_cluster,frozen_existing_rq1_decision,high,"The language_parsers change added runtime dependencies on feature and organization-layer types, closing reverse paths through modules that already import language_parsers and producing the five reported cycle entry points."
