case_id,repo_name,pr_number,group,source_run,review_path,finding_count,run_requested_model,case_requested_model,sdk_reported_models,model
case-1855415e884ee1ba48cc,OneKeyHQ/app-monorepo,6705,human,C,reviews/case-1855415e884ee1ba48cc/review_response.json,6,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-e76cf55d18b0ab58656e,airbytehq/airbyte,53686,human,C,reviews/case-e76cf55d18b0ab58656e/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-3c8177202cf6cc19c412,sakaiproject/sakai,13683,human,transport_retry_1/C,reviews/case-3c8177202cf6cc19c412/review_response.json,3,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-ff1dc77e4f7787b90c70,spcl/dace,1975,human,transport_retry_1/C,reviews/case-ff1dc77e4f7787b90c70/review_response.json,7,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-e17525ec35113f1fa642,crewAIInc/crewAI,1818,ai,C,reviews/case-e17525ec35113f1fa642/review_response.json,8,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-5049d6408b926501ef3e,spcl/dace,1896,human,C,reviews/case-5049d6408b926501ef3e/review_response.json,7,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-9258fcf27373a933e7e2,crewAIInc/crewAI,3057,human,C,reviews/case-9258fcf27373a933e7e2/review_response.json,8,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-14a8d97497657e19a2a9,crewAIInc/crewAI,2277,ai,C,reviews/case-14a8d97497657e19a2a9/review_response.json,6,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-dd8a6cbe3c950793b3a1,TobikoData/sqlmesh,4667,ai,C,reviews/case-dd8a6cbe3c950793b3a1/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4578c4889514db7150cf,tinygrad/tinygrad,8731,human,C,reviews/case-4578c4889514db7150cf/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-525728e1a062e44ee133,uxlfoundation/oneDAL,3046,human,C,reviews/case-525728e1a062e44ee133/review_response.json,7,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-3fb516ef59e99ebefe90,SimonHalvdansson/Harmonic-HN,210,human,C,reviews/case-3fb516ef59e99ebefe90/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-2cdd9473970f9f723f9e,microsoft/react-native-windows,14648,human,C,reviews/case-2cdd9473970f9f723f9e/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-bb513ea234bdfc13c5a1,microsoft/etl2pcapng,79,human,C,reviews/case-bb513ea234bdfc13c5a1/review_response.json,8,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-7f788149a3a2219a99e4,crewAIInc/crewAI,2969,human,C,reviews/case-7f788149a3a2219a99e4/review_response.json,6,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-880de7042f7b15901f54,janbjorge/pgqueuer,286,human,C,reviews/case-880de7042f7b15901f54/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-abeeda63ad07c7938f14,prebid/Prebid.js,12705,human,C,reviews/case-abeeda63ad07c7938f14/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-f79f81c705927327894b,crewAIInc/crewAI,2059,human,C,reviews/case-f79f81c705927327894b/review_response.json,0,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-84c82eee85b78c55a60c,marimo-team/marimo,3926,human,C,reviews/case-84c82eee85b78c55a60c/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-6810e3569e902f4a518f,microsoft/typespec,7669,human,C,reviews/case-6810e3569e902f4a518f/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-251cb80f6be4da1148b5,prebid/Prebid.js,13160,ai,C,reviews/case-251cb80f6be4da1148b5/review_response.json,7,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-1b1b75ac29761e80113e,marimo-team/marimo,3843,ai,transport_retry_1/C,reviews/case-1b1b75ac29761e80113e/review_response.json,0,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-d16aaf7c33621dbb5444,crewAIInc/crewAI,2904,ai,C,reviews/case-d16aaf7c33621dbb5444/review_response.json,6,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-e5ea5da2a535c77cde60,mlflow/mlflow,15807,human,C,reviews/case-e5ea5da2a535c77cde60/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-ed9ae96c6bb9c789e7e4,liuliu/ccv,268,ai,C,reviews/case-ed9ae96c6bb9c789e7e4/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-315d6ae6a9b8cfaf69af,jxxghp/MoviePilot,4577,ai,C,reviews/case-315d6ae6a9b8cfaf69af/review_response.json,10,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4cf1ca9870497fac9821,Kiln-AI/Kiln,205,human,remaining_retry_2/C,reviews/case-4cf1ca9870497fac9821/review_response.json,8,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-e2873dbaad5aa9b00625,chhoumann/quickadd,823,human,C,reviews/case-e2873dbaad5aa9b00625/review_response.json,8,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-c1f71d6f3f82b8cb893c,TobikoData/sqlmesh,4712,ai,C,reviews/case-c1f71d6f3f82b8cb893c/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-456a99e5375f1a6b0158,getsentry/sentry,94465,human,transport_retry_1/C,reviews/case-456a99e5375f1a6b0158/review_response.json,5,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-906c229655ff5b2d845d,567-labs/instructor,1735,ai,C,reviews/case-906c229655ff5b2d845d/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4055614affc1d125415b,stack-auth/stack-auth,409,human,C,reviews/case-4055614affc1d125415b/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-58063cca6b2b2e55d6c8,Kanaries/graphic-walker,437,human,C,reviews/case-58063cca6b2b2e55d6c8/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-9e05553c2cc8257de803,mlflow/mlflow,16059,human,C,reviews/case-9e05553c2cc8257de803/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-7fb6be0a9ff351d07097,keepassxreboot/keepassxc,11787,human,C,reviews/case-7fb6be0a9ff351d07097/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4305c02b5fa838228719,AgentOps-AI/agentops,729,ai,C,reviews/case-4305c02b5fa838228719/review_response.json,10,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-2306add458da3672e85f,prebid/Prebid.js,12909,human,C,reviews/case-2306add458da3672e85f/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-74c18a92c1535b657998,crewAIInc/crewAI,2994,ai,C,reviews/case-74c18a92c1535b657998/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-2cb2790135584fbec7b6,NewFuture/DDNS,512,ai,C,reviews/case-2cb2790135584fbec7b6/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-39bad374a9ade4062ccd,langchain-ai/langgraph,3463,human,remaining_retry_2/C,reviews/case-39bad374a9ade4062ccd/review_response.json,1,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-255b98f2886754608eeb,novuhq/novu,8262,human,C,reviews/case-255b98f2886754608eeb/review_response.json,7,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4e52a2d6c64a01088271,prebid/Prebid.js,13372,human,C,reviews/case-4e52a2d6c64a01088271/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-705a42a22ea1000106b3,crewAIInc/crewAI,2155,human,C,reviews/case-705a42a22ea1000106b3/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-9fc71d49b20c11c24094,wizarrrr/wizarr,612,ai,C,reviews/case-9fc71d49b20c11c24094/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-60f7ca8a89bbb8cb0918,OpenHFT/Java-Thread-Affinity,180,human,C,reviews/case-60f7ca8a89bbb8cb0918/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-aafc976b852cd121ef7e,keephq/keep,5074,ai,C,reviews/case-aafc976b852cd121ef7e/review_response.json,7,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-ce25e18c3e1b45613955,crewAIInc/crewAI,2916,human,remaining_retry_2/C,reviews/case-ce25e18c3e1b45613955/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-080160e7e517f3fd623e,useautumn/autumn,95,ai,C,reviews/case-080160e7e517f3fd623e/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-44b8fa06262c22ac1334,AgentOps-AI/agentops,981,human,C,reviews/case-44b8fa06262c22ac1334/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-60517847296ec932aa51,AgentOps-AI/agentops,914,human,C,reviews/case-60517847296ec932aa51/review_response.json,6,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-3579bc98fa0e953b64f7,Significant-Gravitas/AutoGPT,9968,ai,C,reviews/case-3579bc98fa0e953b64f7/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-bf504bf40300ad6e13d5,airbytehq/airbyte,54164,ai,C,reviews/case-bf504bf40300ad6e13d5/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-8154f4ee5fa099eb0976,mlflow/mlflow,15902,human,remaining_retry_2/C,reviews/case-8154f4ee5fa099eb0976/review_response.json,9,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-8f13a23ad6dd97124ee6,reflex-dev/reflex,5555,ai,transport_retry_1/C,reviews/case-8f13a23ad6dd97124ee6/review_response.json,9,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-297b8514fd048d20c40e,antiwork/gumroad,615,ai,C,reviews/case-297b8514fd048d20c40e/review_response.json,9,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-c812fbc20a056cc30f2a,Azure/azure-sdk-for-python,40382,human,transport_retry_1/C,reviews/case-c812fbc20a056cc30f2a/review_response.json,10,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-3b5889bf8c2dda15fe1f,jina-ai/node-DeepResearch,1,ai,C,reviews/case-3b5889bf8c2dda15fe1f/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-bd12d899319fd7a1cd2e,logancyang/obsidian-copilot,1497,ai,C,reviews/case-bd12d899319fd7a1cd2e/review_response.json,8,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-d4ea05c67dc5b4b78eca,OneKeyHQ/app-monorepo,7207,human,C,reviews/case-d4ea05c67dc5b4b78eca/review_response.json,11,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-7a8a934168b2b85d88cc,mtrojnar/osslsigncode,423,human,transport_retry_1/C,reviews/case-7a8a934168b2b85d88cc/review_response.json,9,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-e303faa725537be11450,bespokelabsai/curator,459,human,C,reviews/case-e303faa725537be11450/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-10fff4befc55cc64d234,Kiln-AI/Kiln,308,human,C,reviews/case-10fff4befc55cc64d234/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-42cb40725b6715e6b56e,onlook-dev/onlook,2171,ai,C,reviews/case-42cb40725b6715e6b56e/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4161a92d63b830e8d25b,tegnike/aituber-kit,360,human,C,reviews/case-4161a92d63b830e8d25b/review_response.json,9,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-a907ff7b7b82863f67ef,langbot-app/LangBot,1505,ai,C,reviews/case-a907ff7b7b82863f67ef/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-c1c67da67371cc6f4e74,TobikoData/sqlmesh,4713,ai,C,reviews/case-c1c67da67371cc6f4e74/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-825e526ce8d150c686e2,dropseed/plain,28,human,C,reviews/case-825e526ce8d150c686e2/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-697674ac2a65b8707ff3,mendableai/firecrawl,1445,ai,C,reviews/case-697674ac2a65b8707ff3/review_response.json,9,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-244800b3cbf68e43bdd2,Significant-Gravitas/AutoGPT,10063,ai,C,reviews/case-244800b3cbf68e43bdd2/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-144b11f4f95ea43bdd29,marimo-team/marimo,3628,human,C,reviews/case-144b11f4f95ea43bdd29/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-e3f9933438baa76e6439,Kanaries/graphic-walker,455,human,C,reviews/case-e3f9933438baa76e6439/review_response.json,2,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-f6e573c08f4abfb387e2,stanfordnlp/dspy,8478,ai,transport_retry_1/C,reviews/case-f6e573c08f4abfb387e2/review_response.json,3,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-07ba9e3f89cf9b52baf7,microsoft/genaiscript,1636,ai,transport_retry_1/C,reviews/case-07ba9e3f89cf9b52baf7/review_response.json,10,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-9f8fcb774f327764ac98,Kiln-AI/Kiln,352,ai,transport_retry_1/C,reviews/case-9f8fcb774f327764ac98/review_response.json,14,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-6a297efc4f39098889c7,rsyslog/rsyslog,5699,human,C,reviews/case-6a297efc4f39098889c7/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-b3c04defeaeb2dfc8df4,featureform/enrichmcp,27,human,transport_retry_1/C,reviews/case-b3c04defeaeb2dfc8df4/review_response.json,6,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-5c4295a4e29dfd518b81,microsoft/HydraLab,698,human,transport_retry_1/C,reviews/case-5c4295a4e29dfd518b81/review_response.json,10,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-8ed0c47b940923bc72d2,crewAIInc/crewAI-tools,160,ai,transport_retry_1/C,reviews/case-8ed0c47b940923bc72d2/review_response.json,13,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-cc06a36391a666250d94,microsoft/onnxruntime-genai,1264,human,C,reviews/case-cc06a36391a666250d94/review_response.json,11,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-e6e36b8bcc69c4977c43,CapSoftware/Cap,427,human,C,reviews/case-e6e36b8bcc69c4977c43/review_response.json,7,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4f8afc12e67d17483588,promptfoo/promptfoo,3507,human,C,reviews/case-4f8afc12e67d17483588/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-7b36cddecd405895932b,a16z/halmos,533,ai,C,reviews/case-7b36cddecd405895932b/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-4d8ff19fb340c20d7a49,openai/openai-agents-python,923,ai,C,reviews/case-4d8ff19fb340c20d7a49/review_response.json,4,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-8951dec5ce285d98965c,mlflow/mlflow,14632,human,transport_retry_1/C,reviews/case-8951dec5ce285d98965c/review_response.json,3,deepseek-flash,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-c4848de88db37b12c136,mlflow/mlflow,16112,ai,C,reviews/case-c4848de88db37b12c136/review_response.json,6,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-9d55cc1091c28ad2789b,SimonHalvdansson/Harmonic-HN,217,ai,C,reviews/case-9d55cc1091c28ad2789b/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-fec39babcb4d42292e9b,microsoft/azuredatastudio,26290,human,C,reviews/case-fec39babcb4d42292e9b/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-2d29c8266ee4ae3326fa,keephq/keep,5015,ai,remaining_retry_2/C,reviews/case-2d29c8266ee4ae3326fa/review_response.json,3,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
case-7e619218951594d5155d,crewAIInc/crewAI,2042,human,C,reviews/case-7e619218951594d5155d/review_response.json,5,deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m],deepseek-v4-pro[1m]
