case_id,model,model_output_valid,review_finding_n,latency_ms
case-58063cca6b2b2e55d6c8,deepseek-v4-pro[1m],1,9,269825
case-9e05553c2cc8257de803,deepseek-v4-pro[1m],1,4,834907
case-7fb6be0a9ff351d07097,deepseek-v4-pro[1m],1,4,385241
case-4305c02b5fa838228719,deepseek-v4-pro[1m],1,9,509904
case-2306add458da3672e85f,deepseek-v4-pro[1m],1,1,420935
case-74c18a92c1535b657998,deepseek-v4-pro[1m],1,0,408003
case-2cb2790135584fbec7b6,deepseek-v4-pro[1m],1,4,668045
case-39bad374a9ade4062ccd,deepseek-v4-pro[1m],1,2,377197
case-255b98f2886754608eeb,deepseek-v4-pro[1m],1,3,458520
case-4e52a2d6c64a01088271,deepseek-v4-pro[1m],1,2,512086
case-705a42a22ea1000106b3,deepseek-v4-pro[1m],1,3,364217
case-9fc71d49b20c11c24094,deepseek-v4-pro[1m],1,2,392865
case-60f7ca8a89bbb8cb0918,deepseek-v4-pro[1m],1,1,421817
case-aafc976b852cd121ef7e,deepseek-v4-pro[1m],1,8,364238
case-ce25e18c3e1b45613955,deepseek-v4-pro[1m],1,3,580095
case-080160e7e517f3fd623e,deepseek-v4-pro[1m],1,7,307977
case-44b8fa06262c22ac1334,deepseek-v4-pro[1m],1,4,381618
case-60517847296ec932aa51,deepseek-v4-pro[1m],1,7,763311
case-3579bc98fa0e953b64f7,deepseek-v4-pro[1m],1,3,423223
case-bf504bf40300ad6e13d5,deepseek-v4-pro[1m],1,3,454228
case-8154f4ee5fa099eb0976,deepseek-v4-pro[1m],1,5,525798
case-8f13a23ad6dd97124ee6,deepseek-v4-pro[1m],1,7,337374
case-297b8514fd048d20c40e,deepseek-v4-pro[1m],1,5,401401
case-c812fbc20a056cc30f2a,deepseek-v4-pro[1m],1,9,457859
case-3b5889bf8c2dda15fe1f,deepseek-v4-pro[1m],1,5,242314
case-bd12d899319fd7a1cd2e,deepseek-v4-pro[1m],1,3,361877
case-d4ea05c67dc5b4b78eca,deepseek-v4-pro[1m],1,9,432401
case-7a8a934168b2b85d88cc,deepseek-v4-pro[1m],1,10,724689
case-e303faa725537be11450,deepseek-v4-pro[1m],1,2,454597
case-10fff4befc55cc64d234,deepseek-v4-pro[1m],1,3,339953
case-42cb40725b6715e6b56e,deepseek-v4-pro[1m],1,6,285378
case-4161a92d63b830e8d25b,deepseek-v4-pro[1m],1,4,523195
case-a907ff7b7b82863f67ef,deepseek-v4-pro[1m],1,4,612178
case-c1c67da67371cc6f4e74,deepseek-v4-pro[1m],1,3,400123
case-825e526ce8d150c686e2,deepseek-v4-pro[1m],1,3,454864
case-697674ac2a65b8707ff3,deepseek-v4-pro[1m],1,6,195097
case-244800b3cbf68e43bdd2,deepseek-v4-pro[1m],1,4,461327
case-144b11f4f95ea43bdd29,deepseek-v4-pro[1m],1,2,376428
case-e3f9933438baa76e6439,deepseek-v4-pro[1m],1,4,502531
case-f6e573c08f4abfb387e2,deepseek-v4-pro[1m],1,2,499977
case-07ba9e3f89cf9b52baf7,deepseek-v4-pro[1m],1,2,685291
case-9f8fcb774f327764ac98,deepseek-v4-pro[1m],1,8,410670
case-6a297efc4f39098889c7,deepseek-v4-pro[1m],1,0,445164
case-b3c04defeaeb2dfc8df4,deepseek-v4-pro[1m],1,7,799279
case-5c4295a4e29dfd518b81,deepseek-v4-pro[1m],1,5,336703
case-8ed0c47b940923bc72d2,deepseek-v4-pro[1m],1,15,327756
case-cc06a36391a666250d94,deepseek-v4-pro[1m],1,5,476536
case-e6e36b8bcc69c4977c43,deepseek-v4-pro[1m],1,7,575799
case-4f8afc12e67d17483588,deepseek-v4-pro[1m],1,2,443135
case-7b36cddecd405895932b,deepseek-v4-pro[1m],1,0,449958
case-4d8ff19fb340c20d7a49,deepseek-v4-pro[1m],1,3,498733
case-8951dec5ce285d98965c,deepseek-v4-pro[1m],1,1,502813
case-c4848de88db37b12c136,deepseek-v4-pro[1m],1,6,479830
case-9d55cc1091c28ad2789b,deepseek-v4-pro[1m],1,3,333460
case-fec39babcb4d42292e9b,deepseek-v4-pro[1m],1,1,179704
case-2d29c8266ee4ae3326fa,deepseek-v4-pro[1m],1,3,302845
case-7e619218951594d5155d,deepseek-v4-pro[1m],1,7,1181750
case-da8176df9d4c3da588f6,deepseek-v4-pro[1m],1,10,421434
case-d43932c2523bb6005b6b,deepseek-v4-pro[1m],1,5,278838
case-c7587212ad97b8e4dbd6,deepseek-v4-pro[1m],1,0,231689
case-49ba87d78fec9fc37aa1,deepseek-v4-pro[1m],1,8,597605
case-72d9d34b8bd7f1c63abc,deepseek-v4-pro[1m],1,7,347716
case-bdc46ccfb585e0813fba,deepseek-v4-pro[1m],1,5,356871
case-5692e89beef2e6430372,deepseek-v4-pro[1m],1,4,492495
case-232a78570fb9941423b0,deepseek-v4-pro[1m],1,9,337130
case-7edd902574e5d13c004d,deepseek-v4-pro[1m],1,5,365485
case-872ff7755c818b023b3e,deepseek-v4-pro[1m],1,0,508454
case-58d2a55832abcd11e69d,deepseek-v4-pro[1m],1,3,376484
case-9f4690cc7d4420be0c68,deepseek-v4-pro[1m],1,2,309086
case-af796cba9349058a9934,deepseek-v4-pro[1m],1,1,303265
case-e7925d2971d434bc38de,deepseek-v4-pro[1m],1,4,599911
case-88ffb0e14443460c1357,deepseek-v4-pro[1m],1,15,194616
case-eb632a8157027d4e78d3,deepseek-v4-pro[1m],1,5,362424
case-925775ad39947c2066a7,deepseek-v4-pro[1m],1,3,145596
case-db0896f36ffe89aeed8a,deepseek-v4-pro[1m],1,2,230909
case-79b3ba24aed8629cb6fa,deepseek-v4-pro[1m],1,2,408752
case-337b59edf712fccfe514,deepseek-v4-pro[1m],1,4,354262
case-0b7eb64a0d18ecc8baa1,deepseek-v4-pro[1m],1,3,331744
case-e1149ac47af28879db97,deepseek-v4-pro[1m],1,3,624982
case-f73cb6778f797cd03992,deepseek-v4-pro[1m],1,4,458955
case-3a453fb29262930df26d,deepseek-v4-pro[1m],1,8,458643
case-6ad10cf412f11c064208,deepseek-v4-pro[1m],1,4,231399
case-7769db528e070342d826,deepseek-v4-pro[1m],1,10,572085
case-2d93edefa9bf78e1efb4,deepseek-v4-pro[1m],1,5,258835
case-03011033f32e831010a4,deepseek-v4-pro[1m],1,8,289401
case-5a5d102c7e9aef574fc5,deepseek-v4-pro[1m],1,7,338419
case-40fa8beab703be9d9368,deepseek-v4-pro[1m],1,11,475234
case-e05358259ffc4ca862c7,deepseek-v4-pro[1m],1,2,486545
case-f8ec934ad36d9c3fff54,deepseek-v4-pro[1m],1,1,111900
case-067e25b2ef2c5883ce5c,deepseek-v4-pro[1m],1,5,322007
case-e89c9074a262db9762f8,deepseek-v4-pro[1m],1,2,206831
case-706ee5ddca967e136a25,deepseek-v4-pro[1m],1,0,497322
case-989968fe00597e97988b,deepseek-v4-pro[1m],1,1,451584
case-945185d91e4e23d356a8,deepseek-v4-pro[1m],1,6,224974
case-e95b663ee8e1e5965537,deepseek-v4-pro[1m],1,3,461035
case-9ecda84deae5c45643ca,deepseek-v4-pro[1m],1,7,357517
case-7c3045f6e85b3f5f1b49,deepseek-v4-pro[1m],1,5,269319
case-d6dde2f26a32c9bff76d,deepseek-v4-pro[1m],1,7,561221
case-26052da343b4084fccf7,deepseek-v4-pro[1m],1,0,259659
case-61426f0adcf2ca112e1d,deepseek-v4-pro[1m],1,0,206557
case-f81566b1a6263aebc2fc,deepseek-v4-pro[1m],1,5,627001
case-6bf52025747941db38d4,deepseek-v4-pro[1m],1,6,403461
case-eb681d918af8f53202fa,deepseek-v4-pro[1m],1,8,359531
case-f465152400330d659f37,deepseek-v4-pro[1m],1,2,375847
case-ec595a9d4a209dd1c064,deepseek-v4-pro[1m],1,5,252529
case-b46393c556b0e1ab8e03,deepseek-v4-pro[1m],1,2,454621
case-e9af381d5691c745b01d,deepseek-v4-pro[1m],1,3,181485
case-92bf2b6fee0cab272d63,deepseek-v4-pro[1m],1,6,447830
case-15fca550df7f9ba029d9,deepseek-v4-pro[1m],1,1,301748
case-e4c28aef9d898cad9641,deepseek-v4-pro[1m],1,9,265951
case-525cca57fa45a53cdf40,deepseek-v4-pro[1m],1,1,253832
case-3627763b793cf921a336,deepseek-v4-pro[1m],1,8,386308
case-1aaea7ba84a2f17638de,deepseek-v4-pro[1m],1,5,322499
case-e81abc2d4c6f476893c2,deepseek-v4-pro[1m],1,1,230339
case-1bd23fd02f55f8ceb10d,deepseek-v4-pro[1m],1,5,413361
case-d316f6c41322a9e21b99,deepseek-v4-pro[1m],1,1,260944
case-fd1bb152abf59358660e,deepseek-v4-pro[1m],1,6,535745
case-2aff113b02718d12fa5c,deepseek-v4-pro[1m],1,2,386000
case-b0fb6829dda02eb08ec0,deepseek-v4-pro[1m],1,3,423298
case-de715ff30c32d51c5df9,deepseek-v4-pro[1m],1,5,258666
case-a312421c7f686d168d04,deepseek-v4-pro[1m],1,5,331150
case-501f4049215a852666e2,deepseek-v4-pro[1m],1,5,508139
case-376baaaedc0c65b1cc07,deepseek-v4-pro[1m],1,1,229356
case-620175c9a99c49119a2d,deepseek-v4-pro[1m],1,5,470524
case-ca17bd7389a0f6607c96,deepseek-v4-pro[1m],1,8,162924
case-83f2a806231ce243a56f,deepseek-v4-pro[1m],1,8,411161
case-f912cdc0fdea1d02105f,deepseek-v4-pro[1m],1,4,606481
case-210bb7200d289a3d2aa0,deepseek-v4-pro[1m],1,4,397236
case-d76dbaa9ee6c731f26bb,deepseek-v4-pro[1m],1,5,552038
case-2f0bf603687d1eee9d5c,deepseek-v4-pro[1m],1,5,427120
case-2a05c6f1f5871c732fc9,deepseek-v4-pro[1m],1,3,486442
case-e7abb649407ce2a06e66,deepseek-v4-pro[1m],1,3,249384
case-165e7025bc0ca85902b7,deepseek-v4-pro[1m],1,8,345591
case-faac3cfabce2584d7a03,deepseek-v4-pro[1m],1,2,252491
case-9a3caf429ad89e36d4f9,deepseek-v4-pro[1m],1,6,254360
case-614e7b1427a1306c4e95,deepseek-v4-pro[1m],1,6,271379
case-781243d89e391c3fb5dd,deepseek-v4-pro[1m],1,6,380524
case-be4814e7e2c136ec014f,deepseek-v4-pro[1m],1,5,488744
case-0737af73e1a18998c5a2,deepseek-v4-pro[1m],1,0,352010
case-31359bc417febbc38cfc,deepseek-v4-pro[1m],1,3,390379
case-8e80f8f75b18fc1f2c20,deepseek-v4-pro[1m],1,3,188439
case-6bb65ffd9cdede1d6b6b,deepseek-v4-pro[1m],1,0,231476
case-8021d18f5efd78f0cc50,deepseek-v4-pro[1m],1,3,254343
case-ee699d86c0aab7ef23c9,deepseek-v4-pro[1m],1,7,349081
case-43645709b6ff2623e8d8,deepseek-v4-pro[1m],1,1,415097
case-162c30563cd0fe89d803,deepseek-v4-pro[1m],1,2,161621
case-7c75f021c35395eadfeb,deepseek-v4-pro[1m],1,4,449271
case-79e114ffc3cc4f095ea9,deepseek-v4-pro[1m],1,3,325375
case-ed5b3f75ec8a328974da,deepseek-v4-pro[1m],1,0,212383
case-b8af4d9b4865f25701f6,deepseek-v4-pro[1m],1,5,486235
case-22b5befc227597e10e1c,deepseek-v4-pro[1m],1,6,299949
case-244866c4d24233d35c00,deepseek-v4-pro[1m],1,5,235328
case-2480a35206f87bbbe5d3,deepseek-v4-pro[1m],1,1,378126
case-f43ddbe01d48c57e3d09,deepseek-v4-pro[1m],1,1,225865
case-2ae54e3d2402891653c9,deepseek-v4-pro[1m],1,3,311002
case-531a14c51b5c84477849,deepseek-v4-pro[1m],1,4,348929
case-8c23b92c89e208d5060f,deepseek-v4-pro[1m],1,2,490236
case-3f20570dc7a7eb7615c6,deepseek-v4-pro[1m],1,5,371002
case-da5e5e38a1e97800e43f,deepseek-v4-pro[1m],1,0,312803
case-5f4c438794b17fe2dd2c,deepseek-v4-pro[1m],1,3,372056
case-d837fc6cbd4f56478413,deepseek-v4-pro[1m],1,2,620277
case-cdcb44d35c9fd57cf181,deepseek-v4-pro[1m],1,8,325973
case-4a764f3847aeba71b091,deepseek-v4-pro[1m],1,2,343618
case-c07871a51a27de6dbd30,deepseek-v4-pro[1m],1,0,261997
case-72f34ef0f483fa5dc4a2,deepseek-v4-pro[1m],1,7,297475
case-6941800e5dad967c8891,deepseek-v4-pro[1m],1,7,770864
case-dc87cd42d1e9b184415b,deepseek-v4-pro[1m],1,15,1046977
case-83dc15c25b665c37be9d,deepseek-v4-pro[1m],1,5,738423
case-8770662c4f6043153da7,deepseek-v4-pro[1m],1,5,576377
case-d7154845bbf7bf4e183a,deepseek-v4-pro[1m],1,5,1157902
case-85f1a4f70f22fb6fa58f,deepseek-v4-pro[1m],1,10,520803
case-ff75976eee40d72f7511,deepseek-v4-pro[1m],1,3,344768
case-df4aa08de27bda8bfe40,deepseek-v4-pro[1m],1,5,582186
case-37aad921cd746c69ff61,deepseek-v4-pro[1m],1,4,501650
case-acefa04717be9a7519dd,deepseek-v4-pro[1m],1,0,359843
case-3a0f70a817d7306d446f,deepseek-v4-pro[1m],1,3,653504
case-9d5b1f099bc198089f82,deepseek-v4-pro[1m],1,7,513279
case-bc28a1aba4094e693c43,deepseek-v4-pro[1m],1,6,594235
case-8759efacbf1ad8eda644,deepseek-v4-pro[1m],1,8,423554
case-890543742b2667251625,deepseek-v4-pro[1m],1,5,542050
case-a8f8a3338967bf8c953b,deepseek-v4-pro[1m],1,4,589002
case-e644dabe399c62ffb568,deepseek-v4-pro[1m],1,6,463307
case-45ecc9b9b423e37da22e,deepseek-v4-pro[1m],1,4,503859
case-00977e0ec8aff7fcb678,deepseek-v4-pro[1m],1,2,403285
case-36ffe6b241bac7e92bef,deepseek-v4-pro[1m],1,1,475936
case-bb9f107e8c4492d808f0,deepseek-v4-pro[1m],1,2,1076333
case-751c059c3e55e626a5f2,deepseek-v4-pro[1m],1,1,543154
case-942f9d868ba8d76f17e5,deepseek-v4-pro[1m],1,5,391399
case-4095aca83f88f54e46ec,deepseek-v4-pro[1m],1,5,614161
case-db4252297ba545d8268f,deepseek-v4-pro[1m],1,5,323903
case-7752a6d9d5c913b909f9,deepseek-v4-pro[1m],1,12,312880
case-5c93ece3b9cd9e529584,deepseek-v4-pro[1m],1,0,363031
case-15a2421f1bcb68a912e0,deepseek-v4-pro[1m],1,2,708516
case-2c3cde6b08772acb6fc2,deepseek-v4-pro[1m],1,5,623913
case-23301a5c36a69f5fffff,deepseek-v4-pro[1m],1,6,335453
case-5bc4ea80f1c42b093e67,deepseek-v4-pro[1m],1,4,441656
case-1882b202ff282a7c3526,deepseek-v4-pro[1m],1,3,297604
case-baa524bc3570dded5648,deepseek-v4-pro[1m],1,0,71350
case-cac1c1d447083f202a85,deepseek-v4-pro[1m],1,3,385943
case-bae92b7c92bcec6a9534,deepseek-v4-pro[1m],1,0,80776
case-a08180d0d3a6396032fb,deepseek-v4-pro[1m],1,2,312183
case-c4f7afe4573a5fc51cc1,deepseek-v4-pro[1m],1,5,403559
case-63f02cda0a1f10073dfa,deepseek-v4-pro[1m],1,5,336530
case-0e7910d93b1d2321cee6,deepseek-v4-pro[1m],1,2,373200
case-c1987dda9a6823c29fea,deepseek-v4-pro[1m],1,3,152117
case-76a0ff6983e0ca3793b2,deepseek-v4-pro[1m],1,2,709555
case-b33bef5e576af1887cd4,deepseek-v4-pro[1m],1,0,351444
case-2ad9b8e9de705077d61e,deepseek-v4-pro[1m],1,7,560313
case-97ffe4b940da60fc3723,deepseek-v4-pro[1m],1,5,545302
case-83c0f8f7a5df2722fc6c,deepseek-v4-pro[1m],1,0,309792
